Reviews for Fastrack,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Fastrack is a popular brand known for its stylish and affordable watches. Their foray into the smartwatch market has been well-received by many users. Here are some key aspects to consider when reviewing a Fastrack smartwatch:

Design and Build Quality: Fastrack smartwatches are known for their trendy and youthful designs. They often feature colorful bands, sleek displays, and lightweight construction. The build quality is generally decent, considering their affordability. However, it's impor...
READ MORE",45-54,F," Khardaha, West Bengal",Homemaker,June,2023,Q2
"I loved it 😍 wow such a cool watch. Features are damn good totally worth of money, such a great watch in low price. Go for it",Under 18,F," Meerut, Uttar Pradesh",Student,January,2024,Q1
"Totally worthy products, value of money it's totally looks so classy n cool , i just loved it , wonderful",18-24,F," Thane, Maharashtra",Working Professional,January,2021,Q1
Good 👍,35-44,M," Hosur, Tamil Nadu",Working Professional,April,2023,Q2
Worst battery,18-24,M," Bengaluru, Karnataka",Freelancer,April,2022,Q2
"I liked all the features, best watch at this price, it is water resistance also upto depth of 1.5mtrs,wide screen and very stylish ,soft touch and has many functions , highly recommended 👍",35-44,F," Jaipur, Rajasthan",Homemaker,October,2020,Q4
"I have been using it for the last 3 days.
I bought this to trek the sport activities.

Let me provide the feedback in brief

Pros
- Beautiful look
- Price Budget friendly
- Easy to use
- Trek my basic activities like Sleep, Gym, BPM, walk and other activities
- Good UI

Cons
- Poor battery - It runs max 3 days if you're not connected with Bluetooth
With Bluetooth max 2 days depend on the use cases
- You can't add more then 4 watch faces
- Doesn't work properly while answering the call and re...
READ MORE",18-24,M," New Delhi, Delhi",Working Professional,March,2021,Q1
Loocking nice...,45-54,M," Bengaluru, Karnataka",Working Professional,December,2022,Q4
"Nice wishmaster!nice behaviour,and the product is so nice.as expected,very light wait.. sensors are too good",35-44,M," Howrah, West Bengal",Freelancer,May,2021,Q2
"This smart watch is so classy , so trendy.. color is too good... Quality is superb... I just love this watch... Worth to buy it",35-44,F," Ramganj Mandi, Rajasthan",Homemaker,May,2024,Q2
"Watch features are up to mark , look is awesome, sensor accuracy is amazing but I face issue with battery sometime it drain very fast.",45-54,M," Satna, Madhya Pradesh",Freelancer,April,2023,Q2
Awesome in such reasonable price! Loved the design.. colour... Very lightweight and sturdy. Long battery life and very stylish.,55 and above,F," Durgapur, West Bengal",Retired,May,2021,Q2
I always trust on Fasttrack and the watch is pretty good and personally i liked the watch faces in this range definitely you can go with this value for money..,Under 18,F," Kalyan, Maharashtra",Student,March,2023,Q1
"I Love This Watch, This Is A Perfect Watch, This Is A Better Experience. It is very comfortable for rist this watch. Value For Money.",35-44,M," Kangra District, Himachal Pradesh",Working Professional,January,2024,Q1
Super quality 🥰🥰🥰,35-44,F," Kadapa, Andhra Pradesh",Homemaker,March,2021,Q1
Good product Good Quality and best price,Under 18,M," Shirpur, Maharashtra",Student,September,2024,Q3
"Value for money
Please you buy also this product",18-24,M," Samastipur, Bihar ",Working Professional,March,2021,Q1
Nice,Under 18,F," Chapra, Bihar",Student,August,2020,Q3
Battery life of this smartwatch is not upto that mark...it is less than any other competitors in the market in any other brands..other than that its very good ..go for it...its Fastrack after all..,25-34,M," Kolkata, West Bengal",Working Professional,November,2021,Q4
This watch is soo amazing and I recommend all to buy this item bcoz it's Worthy of each Penny and a nice gift too ..I just loved this product,Under 18,F," New Delhi, Delhi",Student,April,2020,Q2
Awesome to use ..I am loving it 😍,35-44,M," Bardhaman, West Bengal",Working Professional,June,2024,Q2
Battery conditions are very bad otherwise it is as good product🥰,Under 18,M," Bengaluru, Karnataka",Student,May,2023,Q2
Amazing watch with great features like health monitoring multiple sports mode voice assistant calling etc. I am useing this while walking and traking my health activity everyday,55 and above,M," New Delhi, Delhi",Retired,November,2024,Q4
in this price range really worth buy comparing to other bands🔥💯,18-24,M," Salem, Tamil Nadu",Freelancer,August,2021,Q3
Nice product,35-44,M," Rajkot, Gujarat",Freelancer,January,2022,Q1
Awsmm Watch 💥💥💥💥,35-44,F," Agartala, Tripura",Homemaker,August,2020,Q3
Very useful product. This watch is so light in weight and comfortable to wear all day. Built with lots of features and sports modes makes my day to day life easy and convenient. Water resistant features helps me to get into intense workout sessions to get comfy in sweat conditions.,25-34,M," Jodhpur, Rajasthan",Working Professional,May,2023,Q2
Amazing product. Fastrack Revoltt FR1 It has a calling feature too and stays longer than my previous company watch plus it's a compact form of everything which I need with a pocket friendly point of view it is very good. Must purchase.,35-44,F," New Delhi, Delhi",Working Professional,March,2022,Q1
Nice product.,45-54,F," Vellore, Tamil Nadu",Homemaker,February,2024,Q1
I m looking round dial smart watch and I got perfect one . Looking so classy and elegant.features are so amazing according the price go for it . Must buy for daily wear,55 and above,F," Kanpur, Uttar Pradesh",Homemaker,May,2024,Q2
Comfortable,45-54,M," Viluppuram District, Tamil Nadu",Freelancer,April,2022,Q2
Nice product,55 and above,F," Berhampur, Odisha",Homemaker,December,2024,Q4
Good product,45-54,F," Gurgaon, Haryana",Homemaker,October,2022,Q4
"Comparing with the price is totally awesome.
I buy this watch for 1695 for that price it's an unbelievable deal.
But it has some drawbacks
1. Battery backup is bad they claim for 5 day but in practical it only last for 2 days
2. Some times the sensors not recognising and faild to sence the our activities
These are the drawbacks faced by if you ignore this this product is a perfect buy",35-44,M," Neyyattinkara, Kerala",Working Professional,June,2021,Q2
It is awesome so stylish and available at affordable price battery backup is also good so worthy watch.,18-24,F," Mumbai, Maharashtra",Working Professional,February,2022,Q1
"Product is really amazing 👏 😍. I love this smartwatch because of long battery backup, smooth display, easy to connect with my mobile, etc . Value for money smartwatch 😊",35-44,M," Varanasi, Uttar Pradesh",Freelancer,January,2024,Q1
"I am using this watch since long and it has great battery and smooth digital display this looks trendy and sporty watch with good quality ,this watch tracks everything so fast I use this everyday while walking,running.",25-34,F," Ludhiana, Punjab",Homemaker,September,2021,Q3
"The Fast-Track FR 1 Advanced BT Calling Chipset Smartwatch is a game-changer. With its advanced chipset, it offers seamless Bluetooth calling capabilities. The sleek design and user-friendly interface make it a must-have accessory. It's the perfect blend of style and functionality, making communication effortless on the go. Highly recommended!",Under 18,F," Bagaha, Bihar",Student,July,2022,Q3
Tracking sensor are damn good this sensor are flagship level but design is quite good but that price is fully justified for Fastrack brand,25-34,M," Bhubaneswar, Odisha",Working Professional,April,2023,Q2
"Value for money 💰
Buy now feel like premium",18-24,M," Jagtial, Telangana ",Freelancer,October,2022,Q4
Awesome watch . It is more better with amoled display. Or all this is watch comes with all features.,35-44,F," New Delhi, Delhi",Homemaker,February,2020,Q1
Looking premium,25-34,M," Sumerpur, Rajasthan",Freelancer,June,2020,Q2
"Nice watch, design and quality are amazing
Value for money",Under 18,M," Anantapur, Andhra Pradesh ",Student,February,2022,Q1
Awesome 👍🏻 product I love it ❤️,45-54,M," Bengaluru, Karnataka",Freelancer,October,2020,Q4
Awesome product,18-24,M," Mahesana, Gujarat",Working Professional,May,2023,Q2
Very good,35-44,M," Akodia, Madhya Pradesh",Freelancer,June,2022,Q2
"Nice product but anything in your mobile to watch wallpaper installed in watch face is blurr so mind it.
Other wish best.👍🏻",45-54,M," Amod, Gujarat",Working Professional,February,2024,Q1
All good performance 😎,35-44,M," Kolkata, West Bengal",Freelancer,March,2023,Q1
Gud,55 and above,M," Noida, Uttar Pradesh",Homemaker,October,2023,Q4
"Value for money..better to choose fastrack rather than firebolt,noise and boat",35-44,M," Rajahmundry, Andhra Pradesh",Working Professional,September,2024,Q3
Very good product,35-44,M," Berhampore, West Bengal",Working Professional,May,2020,Q2
Good product....... best in class mic in other products.,18-24,M," Baleshwar, Gujarat ",Freelancer,June,2024,Q2
"Quality, battery life, display each and everything is amazing, as a content creator I want timer , using watch is too hectic for me , so I am searching for this solution and got my hand on this watch",Under 18,F," Udaipur, Rajasthan",Student,November,2021,Q4
Very good 👍🏻😊😊😊,45-54,M," Upper Tadong, Sikkim",Working Professional,February,2022,Q1
"My best watch till recent purchase with the best price range . The best things about this watch its long battery life , so you will be able to wear it for an amplified period without stressing . And it easy to read messages, track your fitness goals, and screen your heart rate and other crucial signs.",25-34,F," Gurgaon, Haryana",Homemaker,March,2022,Q1
"Battery backup not good, nice display,no calculator and games.",55 and above,F," Asansol, West Bengal",Homemaker,May,2023,Q2
Very bad battery.battery draining very fastly,18-24,M," Bengaluru, Karnataka",Freelancer,December,2023,Q4
This product is very good and wll performance Fastrack brand is always best,Under 18,F," East Godavari, Andhra Pradesh",Student,December,2020,Q4
I like it Fastrack watch ⌚,18-24,F,"  Rangareddy, Telangana",Working Professional,February,2024,Q1
"Battery life is very short duration,daily u have to recharge along with your mobile phone,for me single it's a single day battery 🔋 only..fasttrack has to working this os software...",25-34,M," Chennai, Tamil Nadu",Working Professional,March,2022,Q1
"Nice 👍 watch
Thanks ❤ flipkart for This Watch",55 and above,M," Manikpur Sarhat, Uttar Pradesh",Retired,May,2021,Q2
All about this watch is best but backup battery is poor🙂,45-54,M," Kolkata, West Bengal",Working Professional,November,2020,Q4
"Value for money as well as functions and quality of this product, excellent calling features and display is very good.
Loved this watch from Fastrack 💕",45-54,M," Bankura, West Bengal",Freelancer,June,2022,Q2
Value for money as well as functions and quality of this product are also too good as expected.,45-54,M," Deoria, Uttar Pradesh ",Working Professional,August,2024,Q3
Excellent calling features in this watch and display very good,45-54,M," Bilhaur, Uttar Pradesh",Working Professional,August,2020,Q3
Nice good product thank you for Fastrack,55 and above,M," Chennai, Tamil Nadu",Retired,March,2021,Q1
Really it was very nice and worth for money,55 and above,F," Vellore, Tamil Nadu",Homemaker,August,2020,Q3
Nice product.,Under 18,F," Kolkata, West Bengal",Student,June,2023,Q2
Battery life so weak,Under 18,M," Shiroli Midc, Maharashtra",Student,May,2023,Q2
"The watch is really good one. Design, colour, tracking system, battery... Everything is good.
Value for money.",35-44,F," Bengaluru, Karnataka",Homemaker,July,2024,Q3
Good luck,55 and above,M,"  Rangareddy, Telangana ",Retired,October,2024,Q4
Good watch,25-34,F," Mumbai, Maharashtra",Homemaker,April,2023,Q2
Nice watch love the fea,18-24,F," New Delhi, Delhi",Working Professional,August,2021,Q3
Not Value for money,35-44,F," Kadi, Gujarat",Homemaker,July,2021,Q3
Super watch. Value for money. Battery backup is good. Display is very good.,18-24,M," Hugli District, West Bengal",Freelancer,February,2020,Q1
Excellent,18-24,F," Kanpur, Uttar Pradesh",Working Professional,May,2020,Q2
I love this product,25-34,F," Kolkata, West Bengal",Homemaker,July,2020,Q3
Good,25-34,M," Uttar Dinajpur District, West Bengal",Working Professional,August,2021,Q3
"1 year experience, sensors sometimes didn't work and are not able to capture data, lift to wake feature sometimes doesn't work, also faced a software issue in which the dnd function was not working properly , if dnd is on then it won't connect thi the phone. And sometimes even in dnd mode it will ring and give notifications. Tried updating software and also went to service center but they are saying that this watch can't be repaired and giving an option of new watch of higher model , but have...
READ MORE",45-54,M," Vadodara, Gujarat",Working Professional,February,2023,Q1
Nice,25-34,M," Devbhoomi Dwarka District, Gujarat",Working Professional,June,2021,Q2
Nice one,35-44,M," Samalkot, Andhra Pradesh",Freelancer,February,2022,Q1
Very good 😊,25-34,F," Madhubani, Bihar ",Homemaker,April,2021,Q2
My watch weather forecast keeps getting disconnected,55 and above,F," Kolkata, West Bengal",Homemaker,August,2023,Q3
"Nice watch in this price range, display is awesome but touch sensitivity is to be improved,
Speaker should be improved.",Under 18,M," Purba Bardhaman, West Bengal ",Student,October,2022,Q4
Design is good. Display is awesome..Just I love it. Only 100 Watch faces is available. 200 is wrong. Overall value for money...,45-54,F," Panihati, West Bengal",Homemaker,December,2021,Q4
The Product quality is just awesome and stylish.. so much features included in it..Its really value for money..just go for it..,45-54,M," Guwahati, Assam",Working Professional,August,2024,Q3
Good,18-24,M," Nagaon, Maharashtra",Freelancer,July,2022,Q3
its ok better,18-24,M," Kasipalayam, Tamil Nadu",Working Professional,June,2021,Q2
This is good.excellent features,55 and above,M," Hyderabad, Telangana",Retired,September,2020,Q3
"Please fix these software issues as soon as possible,
The workout data won't always sync requiring multiple attempts throughout the day and sometimes reqiring the app to be reinstalled, while sometimes it syncs on the first try.
Only the first 10 to 15 minutes of heartrate and calorie data is being shown on all workouts despite the app showing accurate duration in time and graph. The graph will be shown but the data will be plotted only upto 10 to 15 minutes. (Yes, the sensor is working for t...
READ MORE",Under 18,M," Parassala, Kerala",Student,November,2023,Q4
Absolutely amazing Smartwatch.....thank you Fastrack ❤️,45-54,M," Ambala, Haryana",Working Professional,October,2020,Q4
"good product, superbb design, AMOLED display looks cool. go for it...",Under 18,M," Berhampur, Odisha",Student,May,2020,Q2
"Worst Battery, fast draining even on power saving mode
Activity Tracking not so good or bad
Good design
Some features are missing as they mentioned in the image.
The display is good and visible outside.
Good Watch faces are very limited.
The app is not that good.
Smooth UI.
The health feature is working fine, almost accurate but completely.
Worth Purchasing in this price segment.",Under 18,F,"  Pune, Maharashtra ",Student,September,2024,Q3
It has some software flaws. Weather update is not at all working though all settings are in place but always it is showing connect with the app.,Under 18,M," Gurugram, Haryana",Student,August,2021,Q3
"I buy this watch I feel like I bought something that is worth my money..
Great look
Great display
💖",55 and above,M," Hyderabad, Telangana",Retired,May,2023,Q2
According to the price the smartwatch is decent. Maybe it could have been a little better. If there is any problem in future I will update.,45-54,M," Jharpokharia, Odisha ",Working Professional,November,2021,Q4
"Best one in the market, Amazing display quality, good looking. Light weight. Go for it without any second thought. Trust of TATA:)",45-54,M," Gurugram, Haryana",Working Professional,September,2023,Q3
Excellent product tq filipkart,25-34,F," Rae Bareilly, Uttar Pradesh",Homemaker,March,2022,Q1
Overall Experience is good 👍,35-44,M," Greater Noida, Uttar Pradesh",Working Professional,April,2023,Q2
"The beauty of the watch is very impressive, eye catching, and the beautiful glossy look.....",35-44,M," Bolpur, West Bengal",Freelancer,December,2020,Q4
Nice,35-44,M," Kottayam, Kerala ",Working Professional,September,2022,Q3
Good battery performance stand-by. Design super,25-34,M," Chittoor, Andhra Pradesh ",Working Professional,June,2020,Q2
"I loved it, yesterday received order and genuine reviews from my side will be one word only 'amazing'
Looks good, battery backup is fine activity tracker not 100% accuracy but good instant results calling future, blootooth connectivity is fast no disturbance during call and anything so I would say if you wanna purchase then go with this amazing and price affordable not much",25-34,M," Ahmedabad, Gujarat",Working Professional,March,2022,Q1
Worth for money,25-34,M," Manavalakurichi, Tamil Nadu",Freelancer,July,2023,Q3
Watch is very good in all perspectives,25-34,M," Hardoi, Uttar Pradesh ",Freelancer,October,2021,Q4
Best watch,25-34,M," Bhopal, Madhya Pradesh",Freelancer,March,2021,Q1
Nice watch...💥,45-54,M," Uttarpara Kotrung, West Bengal",Freelancer,November,2023,Q4
This smartwatch is best in the price range love it ❤️❤️,18-24,M," Koilwar, Bihar",Freelancer,September,2023,Q3
Perfect Quality,25-34,M," Bengaluru, Karnataka",Working Professional,April,2021,Q2
"The main drawback of this watch is its battery life. Even after fully charging it to 100%, it struggles to last a full day. Everything else is good 👍",55 and above,M," Patiala, Punjab",Retired,November,2020,Q4
Nice watch.. looking super,25-34,M," Sausar, Madhya Pradesh",Working Professional,November,2022,Q4
"So far so good, just a week after purchase. All the technical sides are perfect. Good battery life, activity tracking, reminders, all good.Bought for my wife, dial size a bit Large for womens hand, but it's okay too.",25-34,F," Palakkad, Kerala ",Homemaker,September,2024,Q3
Very good product in this price however speaker quality can be improved. But value for money.,Under 18,M," Siliguri, West Bengal",Student,January,2020,Q1
Nice and value for money,45-54,M," Chebrole Khandrika, Andhra Pradesh",Freelancer,June,2020,Q2
Product is good. Battery performance is bad. Display quality also good. Fast charging good 1h (0 to 100) good . Battery quality descent,Under 18,M," Ranchi, Jharkhand ",Student,June,2020,Q2
"Good product but battery performance not good
And feature missing ...... very important Google Map",18-24,M," Vadodara, Gujarat",Freelancer,August,2023,Q3
Amazing 😍,25-34,F," Bengaluru, Karnataka ",Homemaker,July,2023,Q3
Normal watch'...and best display and battery...and ...just basic features.....not like wow...but cool watch in the range... If when you bought in offer...,25-34,M," East Godavari, Andhra Pradesh ",Working Professional,May,2023,Q2
Very good product,Under 18,M," Morbi, Gujarat",Student,May,2020,Q2
Best Watch,18-24,M," Deglur, Maharashtra",Freelancer,July,2021,Q3
"Awesome product design is cool
battery is outstanding
Display is perfect",35-44,M," Agra, Uttar Pradesh ",Freelancer,February,2024,Q1
Very lovable Product. I love it. App Support is also Very Nice,Under 18,M," Gaya, Bihar",Student,June,2024,Q2
Nice product,35-44,M," Mandarbani, West Bengal",Working Professional,June,2021,Q2
Best watch ever 😀 my husband loved it 😍 thank you Flipkart ❤️,35-44,M," Bengaluru, Karnataka",Working Professional,December,2024,Q4
Very good,45-54,M," Sandur, Karnataka",Freelancer,April,2020,Q2
Nice,18-24,M," Karwar, Karnataka",Freelancer,May,2022,Q2
Great watch. Screen is superb and tracking (checked for steps so far) is accurate. Happy to see Titan rising to the challenge from cheap chinese brands with great value-for-money products.,25-34,M,"  Pune, Maharashtra",Freelancer,May,2024,Q2
"Features are very good
Full filling the expectation 😍☺️",25-34,F," Killai, Tamil Nadu",Homemaker,April,2022,Q2
Very nice 💯 30/10/2024,35-44,F," Hazaribagh, Jharkhand",Homemaker,April,2023,Q2
Awesome ❤❤🔥,55 and above,F," Palakkad, Kerala",Homemaker,April,2024,Q2
Very good product and also product features are good,55 and above,M," Hajipur, Bihar",Retired,July,2020,Q3
Good Watch 👍✅⌚,Under 18,M," Latur, Maharashtra",Student,August,2020,Q3
Awasome,Under 18,M," Belgaum, Karnataka",Student,February,2020,Q1
Aousom product. Value for money.,35-44,M," Baripada, Odisha",Freelancer,November,2021,Q4
So good and very nic,35-44,M," New Delhi, Delhi",Freelancer,December,2023,Q4
Good looking💫 im from Karnataka,Under 18,F," Mandya, Karnataka ",Student,June,2024,Q2
👍 value for money 💰,Under 18,M," Rosera, Bihar",Retired,February,2022,Q1
Nice one,Under 18,F," Pathanamthitta, Kerala",Student,November,2021,Q4
Very nice watch battry back-up is nice,18-24,F," Mira, Maharashtra ",Working Professional,November,2024,Q4
It's so nice 👍,18-24,F," Chandauli, Uttar Pradesh",Working Professional,March,2020,Q1
Display is very nice,55 and above,M," Hyderabad, Telangana",Retired,May,2022,Q2
"I like this smart watch
It has all settings acept
Thanks Fastrack",25-34,M," Bengaluru, Karnataka",Freelancer,August,2022,Q3
"First time experience Fastrack Digit Watch, watch is amazing 🤩, amoled display is great 👍, step counting and Heart Rate sensor is perfect and accurate, strap quality is also good and and this watch is plastic build but it is ok, and power saving mod is also good for battery saving and lift to view function is very accurate perfect working

Cons
Without app watch is not start and I can't find Bluetooth on and off control and Bluetooth range is less",55 and above,M," Gandhinagar, Gujarat",Retired,November,2023,Q4
Best,Under 18,M," Bhiwandi, Maharashtra",Student,October,2024,Q4
GOOD PRODUCT 👍👍,35-44,F," Mancherial, Telangana ",Homemaker,October,2023,Q4
The watch is very nice and beautiful ! love the product 😍,55 and above,M," Mumbai, Maharashtra",Retired,February,2021,Q1
Best watch,35-44,F," Ranchi, Jharkhand",Homemaker,June,2023,Q2
The product is nice I bought this watch for my younger sister and found the bug after that this watch loses time track after not connecting the watch with phone for several hours the time freezes atsone point and then after connecting the watch it sync again. So in some cases if my mom take her phone else where as my sister doesn't have a phone she will not be able to use her watch to tell time.,Under 18,M," Bhusawal, Maharashtra",Student,September,2020,Q3
Battery is very poor,55 and above,M," Mahrajganj District, Uttar Pradesh",Retired,February,2022,Q1
Malayalam language messages not supported (other than English no other languages are not supported),Under 18,M," Malappuram, Kerala",Student,December,2024,Q4
Super,45-54,M," Visakhapatnam, Andhra Pradesh ",Freelancer,December,2024,Q4
"Overall the watch is great at this price point . Amoled display is actually nice, but there are some issues with it's watch face. most of it's watch face are not cool and if you go with customised watch face, you can't make the time date postion change as your wish and it can't blend the date time font good enough with your given photo or wallpaper, most of the time it cuts the side of the digits like 2 3 5 6 8 9 0 . But considering the price point and features overall the watch is good",35-44,M," Bhubaneswar, Odisha",Working Professional,October,2024,Q4
The watch is awesome but the battery backup is not as expected,Under 18,M," Pimpri Chinchwad, Maharashtra",Student,October,2022,Q4
The build quality is not good...very light weight..feel like cheap product....but UI and functionality is quite good.,55 and above,M," Hyderabad, Telangana",Retired,August,2023,Q3
Brilliant smartwatch value for money,Under 18,F," Chennai, Tamil Nadu",Student,February,2021,Q1
"Watch is good in quality, but fastback reflex world app lags, and watch disconnects many times.....
Display (aod)... best
Built quality..Okk
Strap quality...Good
Accuracy....okk
Call quality...Superb
Overall good, if u r looking for branded budget smartwatch.",18-24,F," Nagpur, Maharashtra",Working Professional,April,2021,Q2
Perfect,35-44,M," Purba Medinipur, West Bengal ",Freelancer,May,2022,Q2
only cons is plastic build quality.otherwise very good smartwatch at all aspect,55 and above,M," Contai, West Bengal",Retired,April,2021,Q2
I love it 🥰💕,45-54,F," Bankura, West Bengal",Homemaker,July,2020,Q3
"Product is value for money and comes with great features...
Watch faces ar very cool...",25-34,M," Chinchuria, West Bengal",Working Professional,October,2024,Q4
Absolutely super quality smart watch. It's a Fastrack product with amoled display. Nice calling facility. Properly black colour. I really appreciate the item. Ok.,25-34,F," Hugli District, West Bengal",Homemaker,February,2021,Q1
I love this watch ⌚,35-44,M," Naspur, Telangana",Freelancer,June,2020,Q2
Nice 🔥💯,18-24,F," Badkulla, West Bengal",Working Professional,February,2024,Q1
Value for money,25-34,M," Kolkata, West Bengal",Working Professional,July,2020,Q3
Fastrack optimus watches is amazing product🔥💥😍 thanks Fastrack☺️...,35-44,M," Uluberia, West Bengal ",Freelancer,February,2022,Q1
Nice watch..... Well display..,Under 18,F," Upper Tadong, Sikkim",Student,February,2024,Q1
The watch more comfort while wearing you don't even feel you're wearing it. And the process also fast while using you can check the videos too.,Under 18,F," Ayothiapattinam, Tamil Nadu",Student,August,2024,Q3
"This is a amazing Product from fastrack
.Display Fells very Responsive,Charging Speed is good and Battery and AOD works Well and on top of that features are great in the watch.In my opinion it's Very Value for money .Overall a Great Product from Titan.",25-34,M," Bhubaneswar, Odisha",Freelancer,February,2024,Q1
"Very happy with the design and interface, smooth transition. Value for money 🥳",55 and above,M," Mumbai, Maharashtra",Retired,December,2022,Q4
"Design good👌
Look good👍
Value product👍
Good Features 👌",18-24,M," New Town, West Bengal",Working Professional,February,2021,Q1
"Firstly.... i got the watch with 60 percent charge and i ve raised it to 100 and this is my review after i used it for 4 and half days as a normal person
I called
I listened music
I track activity
I tracked my sleep

All works fine and now my battery is 26 percent i except it to last one more day makking it 5.5 to 6 days

From titan fastrack its good product.!
You can count on it👍🏻",Under 18,M," Rajahmundry, Andhra Pradesh",Student,December,2023,Q4
Love the watch 👌 awesome features,35-44,M," Jharsuguda District, Odisha",Freelancer,May,2024,Q2
My fast smart watch I am very happy 😊 😃,35-44,M," Margao, Goa",Student,February,2024,Q1
Excellent Product. Go for it,35-44,M," Purba Bardhaman, West Bengal ",Freelancer,June,2020,Q2
This watch is awesome and product is value for money,55 and above,M,"  Pune, Maharashtra ",Homemaker,September,2024,Q3
Awesome,45-54,M," Sasni, Uttar Pradesh",Freelancer,December,2021,Q4
Not for thin wrist..,55 and above,M," Basirhat, West Bengal",Student,February,2023,Q1
Awesome product Fastrack,Under 18,F," Palacole, Andhra Pradesh",Student,October,2021,Q4
Nice watch ⌚,Under 18,M," Hyderabad, Telangana",Student,August,2023,Q3
Good product,35-44,F," Khadpipli, Gujarat",Homemaker,August,2022,Q3
"Looks is awesome 😍, but he is polycarbonate 🙂, and there cost is very high 🙂🙃.",45-54,M," Sainthia, West Bengal",Freelancer,October,2022,Q4
Nice,Under 18,M," Ghaziabad, Uttar Pradesh",Student,November,2022,Q4
Good watch,Under 18,F," Veraval, Gujarat",Student,July,2022,Q3
Don't buy gun black varient buy black it's looks more elegant,18-24,F," Idukki, Kerala ",Working Professional,November,2024,Q4
Nice product at this price point... Grey colour the best one❤️,18-24,F," Erattupetta, Kerala",Working Professional,February,2022,Q1
"Simple say Value for money.

Specialy voice call just wowww

Design outstanding

Display awesome 😎

Just fatafati",45-54,M," Panchla, West Bengal",Working Professional,July,2023,Q3
"Good product at this price....
And value of money....
Thank you Flipkart....🙂",Under 18,F," Ranchi, Jharkhand",Student,April,2021,Q2
Amazing product 🤩🤩🤩,45-54,M," Bina, Madhya Pradesh",Working Professional,November,2024,Q4
Very very nice,18-24,M," Hyderabad, Telangana",Working Professional,September,2023,Q3
"It's amazing, best fit for thin Wrist, love it ❤️❤️",45-54,M," Kendrapara, Odisha ",Freelancer,February,2021,Q1
Lovle,25-34,F," Chandannagar, West Bengal",Homemaker,December,2022,Q4
"This is the best watch I have purchase on flipkart
Buckle r so comfortable😌
Straps olso feel premium quality 💯
The aluminum panel make watch very light weight 😍
And the main thing the display was look fantastic with aod. This watch have software update with the app..
This is best 💯💯💯",18-24,F," Muragachha, West Bengal",Working Professional,June,2024,Q2
Value for money,Under 18,M," Khalikote, Odisha",Student,August,2020,Q3
"Reviewed after 4 day: the quality of watch is good and looking stylish. Also very light in weight, well designed, strips also good. This watch Contains lots of features including AOD, calling, simple OS and many more. Now talk about cons the padometer is inaccurate,blue strip looks dirty so try other colour. Overall in this price range watch is good.",55 and above,M," Ghaziabad, Uttar Pradesh",Retired,January,2024,Q1
Very good product ❤️,18-24,F," Habra, West Bengal",Working Professional,October,2023,Q4
Best Product 💖,25-34,M," Sanand Gidc, Gujarat",Freelancer,December,2024,Q4
"Nice watch value for money
❤️",45-54,M," Jaipur, Rajasthan",Freelancer,May,2024,Q2
"Over all nice best price
I am using Sins 5 month's",18-24,M," Mangalagiri, Andhra Pradesh",Working Professional,April,2022,Q2
Very good product 💯🫰🏻🤝🫰🏻,25-34,F," Motihari, Bihar",Freelancer,April,2023,Q2
Watch is worth money for 1699. Speakers are not that much loud. Otherwise fastrack name is enough,Under 18,F," Amreli, Gujarat",Student,October,2021,Q4
Sometimes it calculates the movement by vehicle ...,45-54,M," Kanpur, Uttar Pradesh",Working Professional,December,2020,Q4
Really nice 😍 I love the colour ❤️ nice product 💯🔥💪🏻,45-54,F," Budge Budge, West Bengal",Homemaker,June,2020,Q2
I think it's good. Gifted to my husband.,45-54,F," Sonitpur District, Assam",Homemaker,January,2023,Q1
Nice,35-44,F," Kurasia, Chhattisgarh",Homemaker,December,2021,Q4
Look wise so good quality better features little low battery medium level 3days battery ok with full usage,25-34,M," Tiruppur, Tamil Nadu ",Freelancer,August,2021,Q3
"Excellent ,Wow",25-34,M," Kolkata, West Bengal",Freelancer,March,2021,Q1
Worth it.......,Under 18,F," Patna, Bihar",Retired,December,2024,Q4
Good product,55 and above,F," Mumbai, Maharashtra",Retired,June,2020,Q2
"Packaging was excellent
Battery is superb works 4days withou charging
display is classy
Functions are also good
But the thing is that sometime it hacks due to its small size",35-44,F," Haldwani, Uttarakhand",Homemaker,May,2024,Q2
Good 😊 Thank you Flipkart,45-54,F," New Town, West Bengal",Homemaker,December,2023,Q4
I Love this product ❤️❤️,18-24,F," Kalyani, West Bengal",Working Professional,December,2024,Q4
"It looks nice 👍, it's feel nice, and it is NYC ☺️.. love it.. only speaker 🔊 not very loud... But at 1700 it's a very unique and great product.. and personally i like the os . Its is better than noise and firebolt 👍. Let's see hath me kitne din the tikta hai!😉",45-54,F," Kendrapara, Odisha ",Homemaker,January,2024,Q1
Good.,55 and above,M,"  Pune, Maharashtra",Retired,December,2024,Q4
Build quality and finishing of the product is very good. It's look awesome,35-44,M," Kakdihi, West Bengal",Working Professional,February,2020,Q1
Nice watch for fitness purposes just go for it,45-54,M," Ichoda, Telangana",Freelancer,February,2021,Q1
This is cool and fantastic watch love it. ❤️,45-54,M," Mumbai, Maharashtra",Freelancer,October,2023,Q4
"The Battery backup is tremendous as it's company mentioned upto 5 days,but it came 13 days of average usage.",18-24,F," Bengaluru, Karnataka",Working Professional,January,2023,Q1
Nice,Under 18,M," Bareilly, Uttar Pradesh",Student,November,2024,Q4
