Reviews for Boult,Age,Gender,Location,        Occupation,Month,Year,Quarter
Best watch,45-54,M," Bareilly, Uttar Pradesh",Working Professional,April,2023,Q2
Loved 🥰,45-54,M," Kolkata, West Bengal",Working Professional,March,2020,Q1
Product is really very good value for many 👌👌👌,45-54,F," Jalgaon, Maharashtra ",Homemaker,October,2024,Q4
"Nice watch great battery backup 🙂👍
Superbbb Quality ❤️",Under 18,M," Greater Noida, Uttar Pradesh",Student,September,2024,Q3
"Very good product ❤️👍
Value for money
thanks for boult cosmic",55 and above,M," Loni, Maharashtra",Retired,May,2023,Q2
Very good product....,55 and above,F," Supaul, Bihar ",Homemaker,August,2021,Q3
Really good watch ❤️❤️❤️,18-24,M," Malur Industrial Area, Karnataka",Freelancer,June,2023,Q2
Worth of money 💰 excellent ❣️👍,35-44,M," Surat, Gujarat",Working Professional,January,2023,Q1
Nice product,Under 18,M," Kolar, Karnataka ",Student,November,2024,Q4
Best at this segment…display quality is too good,55 and above,M," Tadepalli, Andhra Pradesh",Retired,December,2023,Q4
Very good,25-34,M," Kopaganj, Uttar Pradesh",Working Professional,February,2021,Q1
Amezing,18-24,M," Bhusawal, Maharashtra",Working Professional,October,2024,Q4
Nice watch,25-34,F," Kolkata, West Bengal",Retired,July,2023,Q3
Product is very very nice,18-24,M," Darbhanga, Bihar",Freelancer,May,2020,Q2
Very good Product.. in this price.💯 Value For money...,25-34,F," Kannauj, Uttar Pradesh",Homemaker,August,2021,Q3
Excellent,25-34,F," Hajipur, Bihar",Homemaker,February,2020,Q1
I like this watch....😍,35-44,F," Budni, Madhya Pradesh",Homemaker,June,2024,Q2
Nice watch quality is good,25-34,M," Prakasam, Andhra Pradesh ",Working Professional,August,2022,Q3
A good smartwatch with a price tag on a higher side,45-54,M," Bellary, Karnataka",Working Professional,February,2023,Q1
I likes this product design based performance OK good,Under 18,F," Bengaluru, Karnataka",Student,January,2023,Q1
"Good.




This is a custom wallpaper",25-34,M," Kalyani, West Bengal",Freelancer,September,2022,Q3
"I actually liked the software smoothness and its design and build quality too. For those who are searching of how the AOD {Always On Display} looks like the 2nd and 3rd are AOD. But i am dissapointed that only 1 custom watchface can be kept in the watch. And uploading the watchface from app to watch takes an eternity. The display is suprisingly sharp and the sound quality from call is over my expectations and i tried calling from the watch and some people said that it sounded better than my p...
READ MORE",55 and above,M," Uttar Dinajpur District, West bengal",Retired,October,2022,Q4
Good 👍,45-54,M," Panagudi, Tamil Nadu",Freelancer,November,2021,Q4
Loved the design and quality of this product.,45-54,F,"  Pune, Maharashtra",Homemaker,February,2023,Q1
Supper 💞,45-54,M," Patna, Bihar",Working Professional,September,2022,Q3
Nice watch,18-24,M," Mandsaur, Madhya Pradesh",Working Professional,November,2023,Q4
"I understand that the contact list feature is not available here.
But if the incoming callers name is not showing, then it's not a value for money product. How can we call it a smartwatch ?
Every time my phone is ringing I check my phone 1st.
I'm not happy with this feature.",55 and above,F," Bhubaneswar, Odisha",Homemaker,October,2024,Q4
Good one,55 and above,M," Malappuram, Kerala",Retired,November,2024,Q4
Very good looking and working better,Under 18,M," Biswan, Uttar Pradesh",Student,January,2023,Q1
Good product in this budget.,25-34,M," Chandigarh, Punjab",Working Professional,February,2022,Q1
Best product and value for money. But calculator not found.,18-24,M," Thane, Maharashtra",Freelancer,April,2023,Q2
Extremely satisfied. Awesome always on display feature with raise to wake up while aod is on. Worth for money hats of boult.,45-54,M," Lucknow, Uttar Pradesh",Freelancer,March,2022,Q1
Great design. Crisp clear display. Overall good. Cons: watch turnoff when battery goes 60%.,Under 18,F," Muvattupuzha, Kerala",Student,October,2020,Q4
"The watch is good for looks in every aspect, but if you are buying this for activities, heart sensor, oxygen monitor then I would like to tell that the sensors are not at all accurate, I tried measuring heartbeat and oxygen of my books, mobile, table, etc and everytime it showed readings. So, I will conclude with this that if you are buying it for looks then go ahead without any 2nd thought but for activities and sensors you should not consider this product.",18-24,F," Lala, Assam",Working Professional,November,2024,Q4
Product is very good👍 It's Value For money and also delivered in 23hours only.... Nice 👏 Service Good quality,45-54,M," Bangaon, West Bengal",Freelancer,November,2020,Q4
"One of the best premium watch i feel, best features , display is crisp n clear, used for 2 days with Bluetooth sync with Android phone and charge is still showing 80% full. Watch faces are awesome, metal strap could be little more better quality but for the price its really worth and i trust boult company as i am already an existing customer of Bluetooth earpods which is also an awesome accessories. Over all good one till now. Size seems to be bigger and heavier dial for lean guys or else it'...
READ MORE",25-34,M," Bengaluru, Karnataka",Working Professional,November,2024,Q4
Nice product....,55 and above,M," Hazaribagh, Jharkhand",Retired,September,2021,Q3
Best smartwatch,55 and above,F," Tiruppur, Tamil Nadu",Homemaker,February,2023,Q1
"Excellent 👌🏻👌🏻
Superb quality product",35-44,M," Nagpur, Maharashtra",Working Professional,January,2021,Q1
"This is an amazing watch and the sound is so clear...
Thank you flipkart💗",45-54,M," Nadia, West Bengal ",Freelancer,October,2020,Q4
"Its really good. Design, durability, comfort, Looks -- everything all good. I have wear it all day and doesn't feel like heavy or distracting. Battery last for 2-3 days only.The only negative point is that you can push only 1 watch face at a time. If wants to add few more watch faces, you have to replace the first one. You can't replace the default watch faces. Even adding watch faces takes lots of time. Around 15-20 sec for 800kb file.",45-54,M," Nagpur, Maharashtra",Freelancer,April,2020,Q2
Nice product,45-54,M," Trivandrum, Kerala",Homemaker,July,2023,Q3
Wanderful,Under 18,M," Badarpur Rly Town, Assam",Student,November,2024,Q4
"Premium quality smart watch.
All the features are working properly.
Display is big bright and sharp.
Chain quality is impressive.
Easy for calling and regular usage.
Battery backup is also good.
Amoled dial makes it more worthy.
Best in this segment, go for it.",35-44,F," Bengaluru, Karnataka",Homemaker,March,2023,Q1
Awesome product,25-34,F," Durgapur, West Bengal",Homemaker,July,2024,Q3
Good product thank you flip kart,25-34,M," Rae Bareli, Punjab",Working Professional,January,2021,Q1
Display is good. Power backup must say very good. BT calling works fine. AOD looks good. Only thing I found problematic is custom face option. It ridiculously bad. Hope boult can fix this by app update.,55 and above,F," Howrah, West Bengal",Homemaker,April,2021,Q2
"This watch is good, it has many features however, Flipkart has mentioned that this watch has blood presser monitor which is actually not, for this feature I bought this watch. Flipkart should not post fake specifications for any product. Also in 3 days this watch is showing problems. auto calling at 1000000 number. automatically changing watch face. battery is drained out in 3 days without calling",35-44,M," Kolkata, West Bengal",Working Professional,January,2020,Q1
"All is good
Al asom look
Quality is very good
Value for money🤤🤤
Crazy look
And very stylish finish look
Outstanding battery backup😘
Awesome display",45-54,M," Nadia, West Bengal ",Freelancer,June,2024,Q2
"Happy with the product.
Value for money",55 and above,M," Indore, Madhya Pradesh",Retired,March,2020,Q1
Good whach attractive design comfortable whach but calculater is not available,45-54,M," Aurangabad, Maharashtra ",Freelancer,November,2024,Q4
"Value for money,,,,good product.",55 and above,M," Greater Noida, Uttar Pradesh",Retired,August,2022,Q3
Nice looking,45-54,M," Amta, West Bengal",Freelancer,June,2020,Q2
Nice product with perfect range,25-34,F," Mumbai, Maharashtra",Homemaker,June,2022,Q2
Good,35-44,M," Mysuru, Karnataka",Working Professional,June,2022,Q2
Beautiful watch,35-44,M," Bharuch, Gujarat",Working Professional,December,2023,Q4
Very nice product loved it,18-24,M," Rajkot, Gujarat",Freelancer,January,2022,Q1
"Display much better than other watch and touch response are very good like a butter 🤗
Best aod i ever seen",Under 18,F," Kulti, West Bengal",Student,June,2021,Q2
Everything is good.. but the price is a bit higher 👍,Under 18,M," Visakhapatnam, Andhra Pradesh",Student,October,2022,Q4
The service is not good at all. When you telling a date to the coustmer it should be accurate and i got the product 1day after the delivery date. Thats the only problem i have..... and the product is good as of now.,35-44,F," Shornur, Kerala",Homemaker,January,2020,Q1
Value for money,35-44,M," Kochi, Kerala",Working Professional,June,2022,Q2
Nice design with good look,Under 18,M," Thane, Maharashtra",Student,August,2021,Q3
"Best watch for this price range, one of exotic and good looking smartwatch in market 🤩 complements are coming for sure 😁",Under 18,M," Mumbai, Maharashtra",Student,May,2024,Q2
"Watch is good looking, Battery Backup is up to the mark, Display is fabulous...go for it if you have budget under 3K",35-44,F," Patna, Bihar",Homemaker,April,2021,Q2
"This product is soo much pretty and stone looking too😍
I loved it 😍 and till now i didnt facing any issues from it battery life is strong
Nothing is bad
And one thing i loved most that it has curve tyle glass from corners",35-44,M," Aurangabad, Maharashtra",Working Professional,February,2022,Q1
"Awesome product, really love it. Excellent performance, design wise quality wise, I think it's worth for me.....",45-54,M," Palakkad, Kerala ",Freelancer,November,2024,Q4
"Looks stylish, good battery backup,fast delivery",35-44,M," Dahod, Gujarat",Working Professional,October,2024,Q4
It's Taking everything heart rate like wood table charger ets,18-24,M," Kishanganj, Bihar ",Working Professional,September,2020,Q3
Good good,25-34,M," Bilara, Rajasthan",Working Professional,May,2023,Q2
Good,Under 18,M," Rohtas District, Bihar",Student,April,2024,Q2
Watch is very nice and build quality also good but so many scratch in sencor side😒😒 very disappointed😞,55 and above,M," Udaipur, Rajasthan",Retired,January,2024,Q1
"Just purchased crown r pro
So acco. to price it's value f.m. product
Let's see how it goes",Under 18,F," Jalgaon, Maharashtra",Student,September,2023,Q3
"It is very cool
And great",25-34,M," Unnao, Uttar Pradesh ",Working Professional,July,2022,Q3
Nice smart watch👍🏻👍🏻,55 and above,M," Samastipur, Bihar",Retired,December,2023,Q4
Nice product ❤️😊,Under 18,M," Bilasipara, Assam",Student,April,2021,Q2
Super,25-34,F," Rohtas District, Bihar",Homemaker,April,2024,Q2
Very nice item❤️,Under 18,M," Fazilka, Punjab",Student,November,2021,Q4
Superb quality products in this price segment.,55 and above,F," Kolkata, West Bengal",Homemaker,January,2020,Q1
Nice to good,Under 18,M," Kolkata, West Bengal",Student,June,2024,Q2
It's amazing watch 😍,Under 18,F," Bhopal, Madhya Pradesh",Student,October,2021,Q4
Too awesome!!!! 🥳 I love it... But better could be more better. In this Budget price it's great 😃,35-44,M," New Delhi, Delhi",Working Professional,April,2022,Q2
I seen people aaying complaint about this product but i love this watch and the display is too good and the ui is so perfect,45-54,F," Mangattidam, Kerala",Homemaker,April,2021,Q2
Wonderful product.,55 and above,M," Paschim Bardhaman, West Bengal ",Homemaker,July,2024,Q3
Nice 👍,35-44,F," Naugachhia, Bihar",Homemaker,January,2023,Q1
"The product is very good.
But the feature should be more.",55 and above,M," Barasat, West Bengal",Retired,February,2021,Q1
Very good Product,55 and above,F," Mysore, Karnataka ",Homemaker,July,2020,Q3
Osm hai watch 🔥🔥😍🥰,25-34,M," Gorakhpur, Uttar Pradesh",Working Professional,September,2021,Q3
Super,35-44,M," Bengaluru, Karnataka",Working Professional,December,2023,Q4
Good,18-24,M," New Delhi, Delhi",Freelancer,February,2021,Q1
Overall is good for value for money,35-44,M," Bellary, Karnataka ",Freelancer,January,2022,Q1
Awesome product value for money 🤑,35-44,M," Bundi, Rajasthan",Freelancer,September,2024,Q3
Good product.. I like it,35-44,F," Pathanamthitta, Kerala",Homemaker,October,2023,Q4
Value of money,18-24,M," Sivakasi, Tamil Nadu",Working Professional,December,2020,Q4
Good one value for money.,45-54,M," Sadasivpet, Telangana",Working Professional,September,2020,Q3
Nice product,25-34,F," Aurangabad, Maharashtra ",Homemaker,July,2022,Q3
Awesome product 😊,Under 18,M," Bhagalpur, Bihar",Student,August,2024,Q3
Best product worth it,18-24,M," Mughalsarai, Uttar Pradesh",Working Professional,December,2022,Q4
Stylish look,45-54,F," Kota, Rajasthan",Homemaker,April,2022,Q2
Super Amoled display,35-44,F," Malegaon, Maharashtra",Homemaker,April,2022,Q2
NICE PRODUCT. I LIKE IT,18-24,F," Jamkhandi, Karnataka",Working Professional,January,2024,Q1
"I am very happy thanks Flipkart build quality and The battery and its operating system are very smooth, I liked it very much.",18-24,M," Lucknow, Uttar Pradesh",Freelancer,June,2023,Q2
Recommended for narrow hand and overall good product,18-24,M," Bhubaneswar, Odisha",Freelancer,April,2024,Q2
Awesome product value for money,25-34,M," Mainpuri, Uttar Pradesh",Freelancer,March,2024,Q1
Super quality watch,Under 18,F," Ludhiana, Punjab",Student,October,2020,Q4
Very nice 👍 product I like it very much. And very good looking 😍 beautiful. Activity of this not much accurate but worth it.very best smart watch at this price point.,45-54,M," Jaunpur, Uttar Pradesh ",Working Professional,May,2023,Q2
Nice watch display quality very nice awesome product,45-54,F," Kanpur, Uttar Pradesh ",Homemaker,April,2024,Q2
No battery life 1day.2day after switch off tha smart watch,45-54,F," Kozhikode, Kerala",Homemaker,October,2020,Q4
"The Boult CrownR Pro is a great smartwatch for those who are looking for budget budget-friendly and feature-rich option. It has all the basics, like heart rate monitoring, SpO2 monitoring, and sleep tracking, plus it has 10 sports modes, music control, Bluetooth calling, and a Large AMOLED display. The battery life is also very impressive, lasting up to 4 days on a single charge.Love this watch.",18-24,M," Gurugram, Haryana",Working Professional,March,2021,Q1
Formal look 😀,35-44,M," New Delhi, Delhi",Working Professional,November,2024,Q4
"One of the best smart watch, really I like this, Design tooo good, value for money",55 and above,M," Bengaluru, Karnataka",Retired,February,2024,Q1
Best product I love it but price is too much and service centres is also too less,55 and above,M," Hyderabad, Telangana",Retired,January,2022,Q1
Beautiful looking watch,55 and above,M," Samastipur, Bihar",Retired,July,2022,Q3
Value for money,35-44,M," Adoor, Kerala",Working Professional,January,2022,Q1
Value for money Display is awesome in this price range,55 and above,M," Hyderabad, Telangana",Retired,March,2024,Q1
Good product 👍,25-34,M," Surat, Gujarat",Working Professional,July,2021,Q3
Nice 👍👍👍👍👍🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂 Happy,45-54,M," Paschim Medinipur, West Bengal ",Freelancer,December,2023,Q4
"It was superb 👌 I like it so much, velue for money, you can go for it.... 🥰 🥰 🥰 Love it❤️",35-44,M," Patna, Bihar",Working Professional,October,2023,Q4
Good product,55 and above,F," Dalgaon, Assam",Homemaker,January,2023,Q1
"I have used these product for 4 days and these are my observations.
1. The watch build quality is very good also it's quite lightweight, given that there are 3 straps in the box the physical aspects of this watch gets 5/5.
2. The display is quite good since it's amoled and brightness improves the look further. Touch navigation is not the greatest but given its price of 2199 we cannot expect too much. On Operating asthetics we can give 4/5.
3. Not comes the biggest feature which is functional...
READ MORE",Under 18,M," Hyderabad, Telangana",Student,October,2024,Q4
"After searching fr more than 1month....

Finally its over. The new Boult rover watch is the
perfect companion to ur wrist.

Its Sterdy at the same time. The dial
looks great on the wrist. This watch has evrything
that u need to look for in a smart watch coupled
with low cost. THANX N KUDOS TO BOULT
TEAM.",35-44,M," Nagaur District, Rajasthan",Working Professional,April,2020,Q2
It's good,45-54,F," Bhilwara, Rajasthan",Homemaker,February,2024,Q1
"Value for money product.......
Thank you boult....",55 and above,F," Kachchh District, Gujarat",Homemaker,November,2022,Q4
"Value for money 💰.
Display AMOLED 1000 nits Love it.

Update review after using this.",55 and above,M," Ankleshwar, Gujarat",Retired,September,2022,Q3
"After using the product for 5 days, this is what I have to rate and review it:
1) Build: 5 / 5
The screen is bright and vivid and feels high resolution. The text is clear.
2) Build: 4 / 5
The build quality looks solid. The weight is optimal and can be worn whole day. The straps are okay. The bezel on the dial could be a little smaller and is apparent against a non-black watch face.
3) Battery and charging: 3 / 5
The battery life is decent, but nothing extraordinary. I normally don't keep BT ...
READ MORE",25-34,M, Delhi,Freelancer,December,2020,Q4
"The watch allows only one customized watch face to store at a time. The battery backup is 2 days with calling and 6 days normal use. The design is pretty decent and good looking. Activity tracking is not accurate. Even the step count. Heart rate and spo2
also not near to accurate.",35-44,F," Bengaluru, Karnataka",Homemaker,August,2020,Q3
"Product is Over Hyped... Product description say's that it has Amoled Display with 600 nits of Brightness but in reality it is not 600 nits bright display actual brightness is between 300-400nits and display is not crisp and doesn't produce sharp,clear and very colorful Picture so i would say it is just Avg quality display...Watch Design and build quality is nice which gives it a premium look... Speaker quality is Good which makes call quality also good and loud enough...will update about hea...
READ MORE",Under 18,M," New Delhi, Delhi",Student,March,2024,Q1
"Awesome Product actively using it from last 1 week only after 1 charge, I use to make call through Bluetooth and monitoring my gym and daily activities and it is performing above my expectations, design is very premium also always on display makes it more attractive,Good deal in this price range compact and packed with numbers of features.Keep up the good work Boult Team.",35-44,M," Thiruvananthapuram, Kerala",Working Professional,November,2021,Q4
"Overall watch is good .

Pros -
1. Awesome display and brightness
2. Looks good design and battery life is good.
3. Belt quality is good
4. Activity tracker is good
5. BT calling is good and speaker is good.

Cons -

1. Issue in heart rate monitor it monitors on any surface.
2. Sometimes Bluetooth gets disconnected and need to reconnect..
3. Blood oxygen is not accurate.

Overall it's good at this price.",Under 18,M," Mumbai, Maharashtra",Student,October,2023,Q4
"VALUE FOR MONEY!!

PROS:DESIGN,BUILD QUALITY, BATTERY BACKUP,
AND OFCOURSE THE PRICE OF THIS WATCH!

CONS: ACTIVITY TRACKING -IS NOT SO GOOD ITS JUST 3/5
IT DETECTS YOUR STEPS ALMOST CORRECTLY BUT IT ALSO DETECTS BPM OF MANY NON LIVING THINGS...STILL IT MANAGES TO DETECT MANY NON LIVING THINGS SO I WILL GIVE 3/5

Operating system- I don't even know which OS is used in it and there's no usage issue or lags in the UI but I think features could be a little more...3/5 for UI..I...
READ MORE",Under 18,M," Prayagraj, Uttar Pradesh",Student,January,2024,Q1
In this price range best in class!!,35-44,M," Thiruvananthapuram, Kerala",Working Professional,June,2024,Q2
Very good,35-44,M," Dharwad, Karnataka",Freelancer,May,2021,Q2
"I wish to give five stars because the product looks attractive, specs are good and the price is tempting. I fell for these 3 things but after initial usage discovered some serious shortcomings (actually I kind of assumed them to be there but surprised when learnt the limitations).
1. there is no calculator app in it.
2. there are 5 inbuilt watch faces, but of these 4 are fixed permanently so can't be changed. Out of 150 cloud based watch faces, there is only ONE that you can download and use ...
READ MORE",18-24,M," Thane, Maharashtra",Working Professional,May,2024,Q2
"boult rover is a good watch first impressions i like it but it has some small proglams like its display is not as shown Bezels are quite big and its wake feature also works slow, reply feature is also not given in it.",Under 18,M," Jehanabad, Bihar ",Student,June,2023,Q2
Veri nice I'm really happy,45-54,F," Lohardaga, Jharkhand",Homemaker,January,2023,Q1
Best product go for it paisa wasool👍👍👍,Under 18,F," Rourkela, Odisha",Student,January,2021,Q1
3 friends with boult rover watch,55 and above,F," Kshidirpur, West Bengal",Homemaker,February,2022,Q1
Super watch worth for money,55 and above,M," Dharwad, Karnataka",Retired,November,2024,Q4
"You cannot get a better deal in this price range. Boult has nailed it with the Rover.

PROS-
1.) Stunning looks and gives you a very premium feel. 2.) Amoled screen looks great.
3.) Strap quality is amazing.
4.) Activity tracker is very accurate.

CONS-
1.) Few issues with the bluetooth connection on receiving phone calls, and contact names not showing up.
2.) Battery backup could have been better.
3.) 60hz screen would have been great.
4.) Multiple AOD displays would have been great.

The...
READ MORE",45-54,M," Allahabad, Uttar Pradesh",Working Professional,January,2023,Q1
Loved one. Getting 6 days of heavy usage battery backup Nice design perfect fit ❤️,35-44,M," Kodungallur, Kerala",Working Professional,December,2021,Q4
Nice watch,25-34,F," Jammu, Jammu and Kashmir ",Homemaker,October,2020,Q4
Nice product it bazzeless are big but good quality,35-44,M," Gopalganj, Bihar ",Working Professional,August,2022,Q3
Nice watch🤩,25-34,M," Kollam, Kerala ",Working Professional,January,2021,Q1
Like it,35-44,M," Liluah, West Bengal",Freelancer,November,2024,Q4
"Screen quality is good and touch is feather smooth. Contrast is what I admire most at this reasonable price. HR, SPo2, BP measures accurately. Super bright as expected in the AMOLED display. Because I just got it today so I am not sure about battery backup. But after a usage of 4 hrs it reduced by 1% only, which includes first time set-up. So I guess backup will also be good. Must say, worth buying it 😊",18-24,M," Gurugram, Haryana",Freelancer,June,2022,Q2
I like this one value for money Some features are missing like stress monitor and in sports swimming mode and the main Menu with button if we want to access menu we have to swipe right always whenever we want to access the menu but i think thats not a big deal overall the watch and features are worth buying value for money with great design and build.,35-44,M," Indore, Madhya Pradesh",Freelancer,June,2021,Q2
This watch is value for money,18-24,M," Belonia, Tripura",Freelancer,January,2022,Q1
Nice product 😊👍👍,25-34,F," Idukki, Kerala ",Homemaker,February,2024,Q1
"This might be the best smartwatch even if it's placed under the 5000 budget range.
The display 10/10
The speaker and call quality 10/10
And the very best part in this price is the Health and step tracking accuracy 10/10, just astoundingly accurate.
This watch is highly recommended.
All the negative reviews would be based on manufacturing defects and delivery issues, else everything is fine.
Thank you.",55 and above,F," Raiganj, West Bengal",Homemaker,November,2021,Q4
Value for money,18-24,M," Bhandara, Maharashtra",Freelancer,October,2024,Q4
Amazing product.,Under 18,M,"  Pune, Maharashtra",Student,April,2021,Q2
THIS SMART WATCH IS AWESOME.....,18-24,M," Ajmer, Rajasthan",Working Professional,May,2024,Q2
"Awesome smartwatch
Build quality is very nice and features performance is also good 👍",55 and above,M," Nashik, Maharashtra",Retired,February,2020,Q1
Nice product,35-44,M," Aligarh, Uttar Pradesh",Working Professional,October,2021,Q4
Very nice in this price segment..love it .but it's high brightness smart watch,Under 18,M," Purba Medinipur, West Bengal ",Student,June,2022,Q2
"First of all i like this rover watch so much because of its looks, function, call, media feature also... But dont know why weather feature is not work properly its always showing 0 degree which is soo annoying for mee and one more thing is tracking activity is also not good... I dont know its app fault orr watch...but this watch is value for money for sure... You should go for it..",35-44,M," Lucknow, Uttar Pradesh",Working Professional,April,2020,Q2
Best in prize,55 and above,M," Faizabad, Uttar Pradesh",Retired,October,2024,Q4
"Super product. Display don't feel like Amoled.
Light weight and looks premium.
Call quality is awesome.
Over all, a good purchase from boult.",35-44,M," Kottayam, Kerala",Freelancer,December,2024,Q4
Awesome look !! Superb built quality !!! Highly recommended!! I want to buy extra original straps!! Please provide the link or option to buy!!,18-24,F," Kachchh District, Gujarat",Working Professional,December,2024,Q4
"It is an ok product if you are going to purchase it.
The display and design is top class other than that there is nothing special in it.
Even some features are missing in the watch which were mentioned in the description box.
It always creates a problem in connecting to the phone.
Health monitors are not very accurate.
It got scratches very easily.
Battery drainage is a major issue in this watch even if you are not using the watch for a full day.
I am not at all satisfied with this purchase....
READ MORE",Under 18,F," North Twenty Four Parganas District, West Bengal",Student,April,2021,Q2
Value for money you must buy it,Under 18,F," Karwar, Karnataka",Student,August,2024,Q3
"WONDERFUL WATCH 😍
I LOVE THIS PRODUCTS 😍❤
THIS WATCH SCREEN IS VERY BRIGHT AND SMOOTH 🥰AND LOOKING SO GOOD😛 PREMIUM WATCH 😌❤🥰",35-44,M," Singur, West Bengal",Freelancer,September,2021,Q3
"A very nicely made product in a perfect price range !
Speaker is good ,good for calling good built quality
Cons-- activity is little less accurate",Under 18,F," Indore, Madhya Pradesh",Student,December,2020,Q4
Excellent watch in this price.,35-44,M," New Delhi, Delhi",Freelancer,October,2021,Q4
Nice,Under 18,M," Kottayam, Kerala ",Student,December,2024,Q4
"Nice watch,

value for money product..",55 and above,M," Kanpur, Uttar Pradesh",Retired,December,2022,Q4
"A Subtle Watch with good display
value for money",55 and above,M," Nandivaram Guduvancheri, Tamil Nadu",Retired,September,2021,Q3
Nice looking,45-54,F," Alappuzha, Kerala",Homemaker,April,2024,Q2
Very good product ☺️,45-54,M," Lucknow, Uttar Pradesh",Working Professional,April,2021,Q2
"Best watch under 4k
Amazing display
Best audio call experience",25-34,F," Dehradun, Uttarakhand",Homemaker,December,2021,Q4
"I like this product very much,Each of its sensors was accurate,And I really like the brightness level of its display I'm so happy😊",35-44,F," Kumily, Kerala",Homemaker,April,2022,Q2
Watch was okk,Under 18,M," Jetpur Navagadh, Gujarat",Student,December,2021,Q4
"I have been using this watch for more than 45 days now and purchased it for 2500.

Pros:
1. Dial is good and looks premium, the AMOLED screen adds to it and looks very premium with a dark face
2. Straps are comfortable
4. Weight is also good
5. Supports Call and message notification

Cons:
1. Bezels could have been thinner, can't complain much at pricepoint
2. Sensors are not very accurate
3. Option to disable notification data could be added on
4. Color options in strap but otherwise a good ...
READ MORE",25-34,M," Bengaluru, Karnataka",Working Professional,August,2020,Q3
Nice Smartwatch,18-24,M," Kozhikode, Kerala",Working Professional,February,2021,Q1
Im looking for mor features...bt not bad looking good in wrist 3 different stripes is plus point bt features wise need lill bit improvement,Under 18,M," Nagpur, Maharashtra",Student,December,2020,Q4
This is my first smartwatch and i am glad to wear it. Activity tracker not so accurate but all other features is are performed well. Nice battery backup. Overall i am happy with it. Awesome AOD function.,25-34,M," Muzaffarnagar, Uttar Pradesh",Freelancer,June,2024,Q2
Super 😊 Watch 🔥,Under 18,M," Mohol, Maharashtra",Student,December,2023,Q4
"Loved the watch since this watch is premium in this segment , also calling feature should be more accurate !",25-34,M," Chhindwara, Madhya Pradesh",Working Professional,June,2023,Q2
"Really good and best watch ever.i love it .very smooth and bright display.all features work properly. loud 🔊 speakers and clear call voice heard.and build quality is really good 😊 👍

Value of money 😊👍🤞",55 and above,F," Jamner, Maharashtra",Homemaker,July,2021,Q3
This smartwatch is epic. I when it launched and it's just perfect. I think boult took my feedback seriously. Loved it ❤️,Under 18,M," Alipurduar, West Bengal ",Student,June,2021,Q2
"The watch looks premium. Wearing it is comfortable.

AOD feature is useless, the brightness is very low and u cannot see anything in bright light.

The features are ok. The purpose of being a watch is not fulfilled, due to poor AOD.",Under 18,M," Chengalpattu, Tamil Nadu ",Student,April,2021,Q2
Display very good and amazing...✨️,Under 18,M," Prakasam, Andhra Pradesh",Student,March,2023,Q1
Good watch and nise strap I like this watch value for money,25-34,F," Malappuram, Kerala ",Homemaker,August,2023,Q3
Good product of value,Under 18,M," Jamnagar, Gujarat",Student,May,2023,Q2
Nice Product,45-54,F," Jalgaon, Maharashtra ",Homemaker,July,2021,Q3
"Super product
Value for money
Great and bright display
Good call clarity",45-54,F," Thiruvananthapuram, Kerala ",Homemaker,December,2020,Q4
"Nice 👍 Product
Amazing 😁🤩 features available
Nice designs
Fully appreciate with this product",35-44,M," Baleshwar, Gujarat",Working Professional,June,2024,Q2
Good product but watch facea do not use the amoled display. Black screen lights up as well. Probably a software issue.,45-54,M," New Delhi, Delhi",Freelancer,May,2022,Q2
"Value of money with good features....
Boult is just stunning 🤙🏻🔥",25-34,F," Kanjikkuzhi, Kerala",Homemaker,June,2021,Q2
Awesome,18-24,F," Kanpur Dehat, Uttar Pradesh ",Working Professional,May,2024,Q2
Fitness tracker is not accurate.,Under 18,M," Kharagpur, West Bengal",Student,February,2021,Q1
Over all good but battery is not so good.. Need to improve the battery..,25-34,M," Kolkata, West Bengal",Freelancer,March,2023,Q1
"This is my first smart watch purchase. The quality of the watch is very much premium and I am happy with the design and features. Thanks Flipkart for providing this great deal.
(Update)
Step counting was not good. It's actually counting you casual hands movement. All other tracking activities are ok.
I am very much disappointed with the step counting issue.",25-34,M," Kolkata, West Bengal",Working Professional,April,2021,Q2
Good product,35-44,M," Begusarai, Bihar ",Freelancer,March,2020,Q1
Always on display is myth in this ..they are just making foo,55 and above,F," Bhagwanpur, Uttarakhand",Homemaker,September,2024,Q3
Good,Under 18,F," Barasat, West Bengal",Student,February,2023,Q1
"Nice Design.
Its perfect for me.",55 and above,M," Darjiling District, West Bengal",Retired,June,2021,Q2
Good watch and affordable pricing,45-54,M," Dibrugarh, Assam",Working Professional,February,2024,Q1
"I am using the Rover Pro for 1 week now and this is my brief review.

The best thing about the watch is the display. The AMOLED display is extremely bright and sunlight visibility is top notch. I am using the display brightness to the low level but as you can see from the image, even in low brightness, the display is too good. There are many watch faces to choose from and customise as per your choice.

The only thing I am missing in activity tracker is Drink Water notification, which was a ve...
READ MORE",Under 18,M," Kolkata, West Bengal",Student,May,2020,Q2
"Allover good. Build quality not good.
Boult rover has better watch faces than boult rover pro.
Only cheap watchfaces available.
Need some improvements in boult active app.",45-54,F," Chopan, Uttar Pradesh",Homemaker,January,2024,Q1
Product is good,45-54,F," Raiganj, West Bengal",Homemaker,May,2022,Q2
