Reviews for Boat,Age,Gender,Location,        Occupation,Month,Year,Quarter
"I got this in safe and trendy packaging. Brand provides manual and other accessories in the box for best user experience. This watch interface is easy to understand and fast in processing. There is a lot of features provided in it like find device, SOS, camera/music control etc. The application setup is easy and accurate. I loved its coin program which motivates the user for better health options. I found it very astonishing in this price range.",18-24,M," Panipat, Haryana",Freelancer,February,2020,Q1
"This watch defines true luxury. It got simple design but premium looks. The display got ultra clairty with high resolution. The functional crown makes it fun to use. It works in navigation through apps, watch faces and scroll through menu. It helps in preventing unwanted scratches on screen while using. Additionally, it provides smart features like sports activities, bluetooth calling, data syncing and waterproof with IP68 rating.",25-34,M," Panipat, Haryana",Freelancer,August,2024,Q3
"Quality of the smartwatch is just amazing.
Brilliant display quality.
Unique design.
All tracking features work properly.
Quick charging.",Under 18,M," Mathura, Uttar Pradesh",Student,January,2023,Q1
It is very cool,25-34,F," Kalyan, Maharashtra",Homemaker,April,2021,Q2
"A super crisp display thanks to the amoled screen.
Very sturdy design with stainless steel casing!!

Pretty good dial and produces very good colors! Has a good peak brightness more than sufficient for sunlight readability.

The functional crown is cherry on the cake!! Highly recommended",35-44,M," New Delhi, Delhi",Freelancer,January,2023,Q1
Very nice prodect,18-24,M," Solapur, Maharashtra ",Freelancer,April,2024,Q2
Very nice,55 and above,F," Pachore, Madhya Pradesh",Homemaker,June,2024,Q2
Recived original brand and item was verry good quality and worthable price thanks to flipkart your wonderful support,45-54,F," Hyderabad, Telangana",Homemaker,April,2021,Q2
I love it super one,55 and above,F," Tiruttani, Tamil Nadu",Homemaker,June,2021,Q2
Boat ultima regal is Asoome product.. I really like this watch. It's touch and battery backup is very good.. Sound quality is also very good... I think under 3k this is the best smart watch.,35-44,M," Bankura, West Bengal",Freelancer,July,2022,Q3
Not aa good product,25-34,M," Jalandhar, Punjab",Freelancer,February,2024,Q1
"Activity tracker is proper
battery is extremely longer
display is better with every other watch ⌚⌚",55 and above,M," Jabalpur, Madhya Pradesh",Retired,May,2024,Q2
"This is my first smart watch purchase and boat ultima regal didn t disappoint me. Look and feel is premium. Seamless connectivity to iPhone through App. Speaker sound is good when placing receiving call through the watch. Rest other features pertaining to fitness and wellness are also great. Wallpaper options could be more in cloud download option. Packaging of product is also very good.

I am happy with the purchase and may repost after few days usage regarding durability and more functional...
READ MORE",Under 18,M," Gwalior, Madhya Pradesh",Student,December,2020,Q4
Best Smartwatch,Under 18,M," Obra, Uttar Pradesh",Student,November,2024,Q4
Nice watch,35-44,M," Ferozepur Jhirka, Haryana",Freelancer,April,2021,Q2
"The dial pad of this smartwatch is so amazing, it looks like a real smartphone's dial. It has a good brightness level even you may use it in the heavy sunlight also. It has a good battery backup you may use it up to 7 days without charging. It has an amoled display which is so amazing.",18-24,M," New Delhi, Delhi",Working Professional,October,2020,Q4
Good one love it looks so premium and light weight and all features works good just love it,25-34,M," Bhilwara, Rajasthan",Freelancer,January,2020,Q1
"As fantastic as it gets. I'm feeling very happy that I selected this smartwatch as my regular use. It is a package bomb, comes with a stylish and classy design, and a super AMOLED display I really loved it. Apart from this I've been using this since last 5 days, and battery backup is wow all time great. Another plus point is it has over 100 sport modes, I used some of them and again it is delivering the best results as I expected. Bluetooth connectivity function is super fast and calling atte...
READ MORE",45-54,M," Mumbai, Maharashtra",Working Professional,July,2024,Q3
"Tracks the vitals well. App is easy to use, battery works for almost 6 days. Very classy in looks. Slightly heavy to wear but much better than fire boltt and other brands watch faces, the activity tracker, sports mode, its in built games etc. The dialer size and looks is a match❤️👍🏻",35-44,M," Gwalior, Madhya Pradesh",Working Professional,July,2024,Q3
"Boat smart watch is very cool and stylish. its looks so premium. Build quality is best. Brightness also superb also work in High sun light. Calling and sound quality is very clear. Also scratch resistant..so overall watch is very awesome.Boat smartwatches typically include features like heart rate monitoring, SpO2 tracking, sleep tracking, and multiple sports modes.Overall, Boat smartwatches",18-24,F," Gwalior, Madhya Pradesh",Working Professional,June,2020,Q2
"Recently have purchased boat ultima regal smartwatch and I'm impressed with the Boat Smartwatch! This affordable timepiece packs a punch with features like heart rate monitoring, GPS, and water resistance. The curved touchscreen display is vibrant and responsive. Battery life is long lasting While app selection is limited, its fitness tracking and notification features shine. A great value-for-money option for fitness enthusiasts and budget-conscious buyers. The strength of the watch is very ...
READ MORE",18-24,M," Gwalior, Madhya Pradesh",Freelancer,January,2024,Q1
"touchscreen display is vibrant and responsive. Battery life is long lasting While app selection is limited, its fitness tracking and notification features shine. A great value-for-money option for fitness enthusiasts and budget-conscious buyers. The strength of the watch is very good. And the watch gives u perfect looks on your hands.",45-54,M," Gwalior, Madhya Pradesh",Freelancer,April,2021,Q2
"it perfect for outdoor use. Users can customize their enjoy with over a hundred customizable watch faces starting from sporty to fashionable designs. The interface is smooth and intuitive Taking into consideration quick get entry to to notifications and health tracking functions. Overall this smartwatch combines fashion and capability, making it a standout desire for tech enthusiasts.",18-24,M," Gwalior, Madhya Pradesh",Retired,August,2021,Q3
"It has Super amoled display that got crystal clear looks and ultra brightness for outdoor use. The touch capacity is very sensitive. It got clearest bluetooth calling service. The metal band is strong, rigid and perfect fit on wrist. Its finishing is done carefully due to which it doesnt itch or irritate skin. The watch Contains all smart features like others but it got 99% accuracy. The cloud watch faces, the activity tracker, sports mode, its in built games etc.",55 and above,M," Gwalior, Madhya Pradesh",Retired,January,2020,Q1
"This is a really fabulous watch. It has Super amoled display that got crystal clear looks and ultra brightness for outdoor use. The touch capacity is very sensitive. It got clearest bluetooth calling service. The metal band is strong, rigid and perfect fit on wrist. Its finishing is done carefully due to which it doesnt itch or irritate skin. The watch Contains all smart features like others but it got 99% accuracy. The cloud watch faces, the activity tracker, sports mode, its in built games...
READ MORE",18-24,M," Gwalior, Madhya Pradesh",Working Professional,July,2023,Q3
"This watch has good amoled display with
Good health and sports features along with good Battery capacity.
Many watch faces to choose from as per choise
The strap quality is ok and no provision to adjust strap size",18-24,F," Gwalior, Madhya Pradesh",Working Professional,May,2022,Q2
"I love amoled displays so much. The hues appear rich. A metal strap creates an elegant appearance that goes well with any clothing. The reliable calling functioned well, and the connectivity is good. The watch appears nice in the hand. I am happy with the buy all around",25-34,F," Gwalior, Madhya Pradesh",Working Professional,September,2024,Q3
"I bought my first smart watch, and the boat ultima regal did not let me . Both appearance and texture are excellent. seamless app-based connectivity to the iPhone. When making or Taking calls using the watch, the speaker and sound quality are good. Rest and other aspects of health and fitness are also excellent.",45-54,F," Gwalior, Madhya Pradesh",Homemaker,June,2023,Q2
"Amoled display is crisp and clear, Bluetooth calling works perfectly and notifications are working. Strap quality is good overall value of money
Very very good Overall the watch is worth the money. The package was delivered in safe packing and earlier than expected. Happy with the purchase I love this premium watch",18-24,M," Gwalior, Madhya Pradesh",Freelancer,November,2020,Q4
"the quality as well as feature of the watch. Amoled display is crisp and clear, Bluetooth calling works perfectly and notifications are working. Strap quality is good.
Overall the watch is worth the money. The package was delivered in safe packing and earlier than expected. Happy with the",18-24,F," Gwalior, Madhya Pradesh",Working Professional,February,2023,Q1
"This one from boat is the feature full smartwatch. The amoled display is fantastic, the metallic straps add a premium feel to the overall look of the watch. All the necessary sport modes are available. The best part is the app support provided for controlling and operating the watch. Overall perfect one under the price ranger, go for it!",18-24,M," Gwalior, Madhya Pradesh",Freelancer,July,2024,Q3
"I am impressed by the overall look and feel .This smartwatch is a versatile and reliable companion for everyday use. With its vibrant amoled display, BT calling, functional crown, and durable metal-built construction, it seamlessly adapts to your lifestyle. Whether you're hitting the gym, in the office, or out for a run, this smartwatch accurately tracks your activities. The convenience of BT calling keeps you connected without constantly reaching for your phone, while the functional crown s...
READ MORE",45-54,F," Gwalior, Madhya Pradesh",Homemaker,September,2024,Q3
"This watch is best. big display and nice
Brightness is supper and awesome design
Value for money
I give a 4/5",45-54,M," Wankaner, Gujarat",Working Professional,March,2023,Q1
Everything is fine 👌🏻 awesome build quality,18-24,M," Kolkata, West Bengal",Working Professional,October,2022,Q4
"This is my first-time ownership of a smartwatch, and I would say, it is a pretty nice watch. It is smooth, heart sensor actually works, gives accurate readings (most of the time), Bluetooth calling works like a charm.",45-54,M," Phusro, Jharkhand",Freelancer,May,2024,Q2
"Good build quality of the watch. Its perfect for those who want to monitor their health and stay connected. The long battery life and smart features like call and message notifications make it a versatile and reliable companion. excellent budget friendly smartwatch with impressive features. It offers a Large, vibrant display that's easy to navigate, long battery life, and customizable watch faces. With fitness tracking, heart rate monitoring and multiple sports modes, it caters well to fitnes...READ MORE",55 and above,F," Nashik, Maharashtra",Homemaker,August,2021,Q3
"Top design look
Best ever long battery life running
Worth it product 😉",55 and above,M," Jabalpur, Madhya Pradesh",Retired,November,2020,Q4
Good 👍👍,18-24,M," Puruliya, West Bengal ",Working Professional,July,2020,Q3
This product is average as I aspect and it's have many features,25-34,M,"  Pune, Maharashtra",Working Professional,November,2021,Q4
I bought this smartwatch for my wife and she is super happy after getting this. It look so stylish and premium. Its amoled screen is big and bright enough to read notification and track my fitness stats without any issue. Calling feature is excellent and battery backup also good. It comes with functional crown and premium quality metal body. 100 plus sports modes and ip68 rating makeing it perfect for indoor as well as outdoor activities.,35-44,M," Saharanpur, Uttar Pradesh",Working Professional,October,2021,Q4
This watch was amazing coming with amazing features display looks to classy battey was good once charged run 48 hours in this price this was amazing quality was also passed value for money my suggestion was go,25-34,F," Naugarh, Uttar Pradesh",Student,August,2022,Q3
"Good smartwatch amoled Design and also bigg screen and many more feature like calling, health tracking, music etc all in this watch. Good smartwatch by boat",Under 18,M," Rajkot, Gujarat",Student,December,2020,Q4
"Perfect Companion for Your Active Lifestyle
Recently purchased this smart watch, and I am absolutely thrilled with my purchase. The design is sleek and modern, and the battery life is amazing. Surely recommended to all.",45-54,M," Satna, Madhya Pradesh ",Working Professional,July,2020,Q3
"amazing smart watch it is , its looks are very classy and light weight on wrist to carry , good quality display and nice working crown is also impressive .",35-44,F," Ujjain, Madhya Pradesh",Homemaker,May,2023,Q2
"THIS WATCH IS DAMN GOOD ,
its AMOLED display is awesome and brightness is level best and looks are really cool and classy with sense of bit sassy.",18-24,M," Ujjain, Madhya Pradesh",Freelancer,May,2022,Q2
I have been using this watch for a few days and i am extremely happy with it. All the functions and sensors are accurate and very useful. The amoled screen is very clear and colourful and the brightness is also good. No issues while using it in sunlight. Strap quality is also soft. Definitely recommended to all.,55 and above,M," Satna, Madhya Pradesh ",Retired,March,2023,Q1
"i was looking for a square dial watch with working features like heartrate sensor, step tracking and calling, and this smart watch fits my requirement. quality is good, display is clear and crisp. Bluetooth calling works properly and convenient to use. heartrate sensor showing realtime data. happy with the product",18-24,M," New Delhi, Delhi",Freelancer,June,2021,Q2
"Perfect Companion for Your Active Lifestyle
Recently purchased this smart watch and I am absolutely thrilled with my purchase.
The design is sleek and modern and the
battery life is amazing.",25-34,M," Barh, Bihar",Student,September,2022,Q3
Excellent product,Under 18,M," Mumbai, Maharashtra",Student,January,2022,Q1
Good product,Under 18,M," Chak Lachhipur, West Bengal",Student,December,2023,Q4
Liked very,45-54,M," Jharia Khas, Jharkhand",Freelancer,March,2021,Q1
"Fantastic and Most Stylish Smart Watch with unlimited features, Worth for money. What a product it is, Wow!",55 and above,M," Kolkata, West Bengal",Retired,June,2023,Q2
"I bought this smart watch for keeping track of my health. This smart watch is really awesome in every aspect. The sleek design, battery back up, its look every thing is just perfect. I feel it is better than my any other smart watch. It is really worth buy, I am very happy with this watch.",35-44,F," Panipat, Haryana",Homemaker,October,2022,Q4
"One of the best smartwatch in this Price Rang.
Instant pair with Device.
Display is very glossy.
All sensor are work looking very perfectly.
Battery backup is very good and speaker is very clearly loudly.",35-44,M," Bokaro Steel City, Jharkhand",Working Professional,February,2024,Q1
"Good battery
Awesome resolution and loaded with features",45-54,F," Baripada, Odisha",Homemaker,August,2024,Q3
Super,35-44,M," Vadodara, Gujarat ",Working Professional,October,2024,Q4
"Boat had done the amazing work
But the is a problem as mentioned 100 watch faces i found only 20 and there resolution was very bad so please solve this problem.",18-24,M," Bahadurgarh, Haryana",Freelancer,June,2023,Q2
Nice watch with good specifications,18-24,F," Hugli District, West Bengal",Working Professional,September,2021,Q3
Nice watch,55 and above,M," Mandideep, Madhya Pradesh",Retired,July,2024,Q3
Nice,45-54,F," Surat, Gujarat",Homemaker,May,2022,Q2
"Best smartwatch in this segment.....I Love it ❤
Best display amoled
Call feature work good
Music 🎶 very well
All health activities working proper
My suggestion is please add more watch faces in This Boat Crest app.....",Under 18,M,"  Pune, Maharashtra",Student,May,2024,Q2
"One of the best in this segment ❤️🔥
Just wow 🤎",Under 18,M," Kopargaon, Maharashtra",Student,January,2021,Q1
"boAt Lunar Connect Ace is the best smartwatch at this price. It's comes with superb 1.43 Amoled display and a lot of advanced features which is unique and very useful for Sportspersons. It's Bluetooth calling functionality is 5 🌟. It is crystal clear in voice. It gives battery back of 10-12 days , all sensors work fine
I measure the heart rate with this Smartwatch and compare it with the oximeter and I found that it is as accurate as an oximeter.
The steps count is approximately correctly co...
READ MORE",35-44,M," Jalandhar, Punjab",Freelancer,November,2024,Q4
This watch is very nice but watch faces not a 100+ and some issues 😔,35-44,M," Jharia Khas, Jharkhand",Freelancer,April,2023,Q2
"1.Caller name not displaying on screen.
2.wrist movement sensitive is not proper.
3.mobile voice is getting connected to watch and no control shift it. We need to off blue tooth.

3day of use",Under 18,M," Thane, Maharashtra ",Student,December,2022,Q4
"The Boat Lunar Connect Ace smart watch is sleek and stylish in design and durable. The metal strap not only added a good look and also comfortable for extend wear. The battery life is excellent. The amoled display offered excellent display clarity and reliable connectivity, and health tracking features exceeded my expectations. The Boat Lunar Connect Ace is a great choice for anyone looking for a stylish smartwatch in this price range.",35-44,M," Jamshedpur, Jharkhand",Freelancer,January,2022,Q1
Love the watch but the battery is drowning a little fast I guess...Otherwise it's value for money,25-34,F," Kolkata, West Bengal",Homemaker,December,2022,Q4
"The Boat Amoled Watch is a standout in the smartwatch market. Its stunning AMOLED display delivers vibrant colors and sharp visuals. The watch offers impressive features like heart rate monitoring, activity tracking, and notifications, making it a perfect companion for fitness enthusiasts. With its sleek design and long lasting battery, it's a fantastic choice for anyone seeking a reliable and stylish smartwatch.",35-44,F," Kanpur, Uttar Pradesh",Homemaker,February,2024,Q1
The watch is sleek and beautiful. Easy to use and nice built quality . A must by in this price range. The features are awesome and the trackers are on spot......,55 and above,M," Konkan Division, Maharashtra",Retired,February,2023,Q1
Good design and display,45-54,F," Ahmedabad, Gujarat",Homemaker,January,2022,Q1
This watch is so beautiful the functions of the watch are awesome after wearing it looks classy best watch ever the charging capacity is grt after using it for 3 days the battery is still in good health value for money the display is stunning,55 and above,M," Mumbai, Maharashtra",Retired,February,2021,Q1
Love it product,55 and above,M," Shirdi, Maharashtra",Retired,April,2020,Q2
Nice product but Bluetooth connectivity is very bad,18-24,M," Patna, Bihar",Freelancer,May,2024,Q2
If you wanna buy it for colour and design then it perfect but if your looking for feature rich watch then it's ain't for you,45-54,M," Indore, Madhya Pradesh",Working Professional,May,2022,Q2
"Display is awesome 😎
Battery backup is good 👍
Speaker is also nice overall best in this price range 😊.",45-54,M," Kota, Rajasthan",Working Professional,May,2020,Q2
"Battery is the only matter, its working less than my phone, even its not working 24 hrs after full charge. Rest the features and everying is so good",Under 18,M," Gurgaon, Haryana",Student,September,2023,Q3
One day Battery backup,25-34,M," Puthencruz, Kerala",Working Professional,September,2020,Q3
"Nice product 😀 by boat. But if the display is smoother, expression will be enhanced.",Under 18,M," Gangnapur, West Bengal",Student,January,2023,Q1
Top notch Quality build quality is too good and very light in weight and can be wear all day with ease and the battery backup is decent for me calling quality and feature I like the most .Good buy for me,Under 18,M," Gurugram, Haryana",Student,January,2020,Q1
"It's been more than one week I purchased it. loved the t overall performance, it has many features that even other brands doesn't have like in such a reasonable price.... so good product, very much satisfied with this smartwatch.. and if you talk about battery life, it stays upto 28-30 hours, the speaker is also very clear and loud as per it's size. you can save emergency numbers and call and receive straight from the watch if connected to Bluetooth. It has many watchfaces installed in the de...
READ MORE",25-34,M," Berhampur, Odisha",Working Professional,March,2022,Q1
Cool 🆒,25-34,M," Jaunpur, Uttar Pradesh ",Freelancer,August,2022,Q3
Very good,Under 18,M," Navi Mumbai, Maharashtra",Student,October,2023,Q4
"The display is too good and bright, look aesthetic and give you premium feel...Bluetooth connectivity is fast and easy to use. It comes with great battery backup and calling feature which is quite good at thing price range, Loved this watch",45-54,M," Thane, Maharashtra",Working Professional,December,2021,Q4
"Excellent watch, with so many features. Touch is working good, and sensors are so accurate.",18-24,M," Greater Noida, Uttar Pradesh",Freelancer,September,2021,Q3
"I can say it's perfect watch for any gender irrespective of age. Metalic belt is easily adjustable for any size. Amoled display is just perfect and in have tested it in water and it's fine.
Multiple sports mode are also helpful. Overall perfect watch with amazing designs",55 and above,M," Hoshangabad, Madhya Pradesh",Retired,April,2022,Q2
Good product 😄💯,18-24,M," Kanpur, Uttar Pradesh",Freelancer,March,2021,Q1
Nice,18-24,M," Bhangar Raghunathpur, West Bengal",Freelancer,October,2020,Q4
Just awesome product.nice,Under 18,M," Howrah, West Bengal",Student,July,2023,Q3
Good product with amazing features at a very reasonable price,35-44,M," Bengaluru, Karnataka",Freelancer,September,2023,Q3
Good product,55 and above,M," Neral, Maharashtra",Retired,January,2021,Q1
I actually bought this product for my boyfriend He really loves it,55 and above,F," Coimbatore, Tamil Nadu",Homemaker,October,2022,Q4
Good,45-54,F," Faridabad, Haryana",Homemaker,June,2020,Q2
Nice Product 👍,18-24,F," Faizabad, Uttar Pradesh ",Working Professional,September,2023,Q3
It is an amazing watch at this price range and also gives a premium experience when used,Under 18,F," New Delhi, Delhi",Student,October,2022,Q4
"One of the best watch i am using it, long lasting battery , premium quality metal strap, really loved the design, graphics are amazing , many different style wallpapers. Loved it.Good to go in this price segment. recommended.",Under 18,M," New Delhi, Delhi",Student,September,2022,Q3
Very attractive Design of this smartwatch. Battery backup is too long and charging very fast. Display quality is always good of this brand watch's. I'm recommend for all. Value for money.,45-54,M," Firozabad, Uttar Pradesh ",Working Professional,November,2023,Q4
"What a AMOLED display watch.... I am really surprised to saw the display... Very good colous and also brightness are awesome...
Strap are also good one ...
Overall good begin and looking smart watch",18-24,F," New Delhi, Delhi",Working Professional,September,2024,Q3
"This is best smart watch I have bought until now. This watch comes with round dial and option of metal/ silicone strips. I bought metal one. The watch has amoled display with always on display. The watch has all the required functions like calling, notifications, all health related app. Battery life is also good. All in all premium quality watch at very reasonable pricing.",45-54,M," Thane, Maharashtra",Freelancer,September,2023,Q3
Nice watch and damage proof watch very string build quality and look is very sporty and stylish battery back up almost 5 to 6 days while connected to phone which is best. Overall satisfactory product from boat.,Under 18,M," New Delhi, Delhi",Student,December,2024,Q4
Awesome build great looks some watch face does not load from app properly and there are less watch faces 12-15 as of now on app may be going forward boat may add in future.,Under 18,M," Bengaluru, Karnataka",Student,March,2020,Q1
"This watch has the best display under this price range.
Premium quality built and touch screen is provided in it.
The watch is light weight and looks classy",18-24,M," New Delhi, Delhi",Freelancer,January,2023,Q1
Watch is good but call problem and battery life is not good not bad.. and 0 to 100 percent chance = 1 hours . But watch' is good 10/8,18-24,M," Bardhaman, West Bengal",Working Professional,May,2023,Q2
"This Smartwatch is amazing. The most important thing is it's battery performance. Even after using this for two week, it's battery level is still 22%. The display is crystal clear. Colours are very natural. A lot of activities tracking functions are available. Moreover, it's a value for money product. I strongly recommend it.",35-44,F," Hyderabad, Telangana",Homemaker,September,2022,Q3
"This is the best smart watch I have bought until now. This watch comes with a round dial and option with silicon/metal strips. I bought the metal one. The watch has an amoled display with always on display. There are also 100+ watch faces as of now on app and also on very light weight. This watch has all the basic required functions like calling, notification, all health related apps. Battery life is also good. All in all a premium quality watch at a very reasonable price.",25-34,M," Moradabad, Uttar Pradesh",Working Professional,October,2022,Q4
Watch features is good but watch faces only limited......but mention 100+cloud faces totally fack,18-24,M," Murshidabad, West Bengal ",Working Professional,April,2020,Q2
Quality and product was awesome but sometimes it disconnected from blutooth.,Under 18,M," Lucknow, Uttar Pradesh",Student,May,2024,Q2
Nice products,25-34,M," Asansol, West Bengal",Working Professional,November,2021,Q4
Product is Dead after 1 day of usage.,25-34,M," Hyderabad, Telangana",Freelancer,November,2024,Q4
Such ka good watch in boat i am happy to purchase this watch,55 and above,F," Gurugram, Haryana",Homemaker,August,2023,Q3
"Product is good especially purple colour enhance look.
The quality is also good ,
Display is main feature of this watch
App is very good and simple
Best deals overall, you can go for it",18-24,F," Osmanabad District, Maharashtra",Working Professional,January,2020,Q1
"Design and strap quality is awesome perfect looking in my hand , value for money all features working perfectly",Under 18,M," Gaya, Bihar",Student,July,2021,Q3
Great watch i love this watch vry superior quality of watch of boat amazing dial fantastic feel on wrist good looking 👍,25-34,M," Ludhiana, Punjab",Working Professional,September,2021,Q3
The watch is awesome and gives the premium feeling on your hand charged once still 70 battery and 3 days are done all the function are working properly the straps are quite strong and good looking,Under 18,M," New Delhi, Delhi",Student,May,2024,Q2
"Awesome product!!! Boat watch I have used before and i am so satisfied with the product. So i thought to buy again and this product is good handing is simple and battery life is awesome.
Staying about features they are just awesome. Fitness apps are also works fine and gives accurate data. We can set the goal watch shows us all information related to the sports. Really liked the product most for it Amoled display with 550nits brightness and Always on display. Outdoor display brightness is super.",45-54,F," Ahmadabad District, Gujarat",Homemaker,July,2022,Q3
"No Chance Go for it. Fantastic product from boat. Superb Design, Battery, Watch faces are amazing. I like it so much. Thank you boat for this amazing product ✅💯",25-34,M," Pulianthoppu, Tamil Nadu",Working Professional,July,2020,Q3
Looking awesome features very well thanks boat,45-54,M," Balangir, Odisha ",Working Professional,October,2020,Q4
Verry good,35-44,M," Bhokardan, Maharashtra",Working Professional,January,2024,Q1
Good product 💯,45-54,M," Dakshin Dinajpur District, West Bengal",Working Professional,June,2024,Q2
Good watch,55 and above,M," Mumbai, Maharashtra",Retired,August,2020,Q3
Nice 🙂 product,Under 18,F," Bhachau, Gujarat",Student,September,2021,Q3
"Nice product 😃 value for money product
Happy 😊",18-24,F," Raipur, Chhattisgarh",Working Professional,July,2020,Q3
Nice product,25-34,M," Kanhangad, Kerala",Working Professional,November,2023,Q4
Very good pro,55 and above,F," Jamshedpur, Jharkhand",Homemaker,June,2022,Q2
Quality to be improved on straps and pin,18-24,M," Chennai, Tamil Nadu",Working Professional,August,2022,Q3
Best,18-24,M," Bagalkot, Karnataka",Working Professional,June,2022,Q2
Good product,45-54,M," Warisaliganj, Bihar",Freelancer,August,2024,Q3
Charger could be better,25-34,F," Noida, Uttar Pradesh",Homemaker,January,2020,Q1
Nice,18-24,F," Sukdal, West Bengal",Working Professional,January,2022,Q1
Best watch,25-34,F," Navi Mumbai, Maharashtra",Homemaker,September,2023,Q3
the button is jam and poor battery life,18-24,M," Pattukkottai, Tamil Nadu",Working Professional,September,2021,Q3
Nice product,45-54,M," Tiruvallur, Tamil Nadu",Retired,June,2022,Q2
"Design, colour,shape, function is very good only one thing is concern for me is display changing time settings on another option should be added is time above and down.
This should be added.",25-34,M," Jabalpur, Madhya Pradesh",Freelancer,June,2022,Q2
Very good product this is value of money I love it❤,35-44,M,"New Delhi, Delhi",Working Professional,March,2021,Q1
Good,35-44,M,"Hapur, Uttar Pradesh",Freelancer,September,2023,Q3
Good product,Under 18,F,"Basugaon, Assam",Student,September,2020,Q3
Nice Product,35-44,M,"Belgaum, Karnataka",Working Professional,February,2021,Q1
Super duper Excellent,45-54,F,"Faridabad, Haryana",Homemaker,January,2020,Q1
Happy,45-54,M,"Allahabad, Uttar Pradesh",Freelancer,June,2022,Q2
Supeb,55 and above,M,"Raipur, Chhattisgarh",Retired,August,2023,Q3
Shandar watch,55 and above,M,"Jaipur, Rajasthan",Retired,August,2024,Q3
Great ,18-24,M,"Mumbai, Maharashtra ",Student,December,2022,Q4
"Very much comfortable and it looks good and appealing. Also, it has various features within such a small device so its amazing",18-24,M,"Mumbai, Maharashtra",Student,March,2022,Q1
Idk abt health.....not used that much but overall a moderate device ,18-24,F,"Thane, Maharashtra",Student,February,2022,Q1
It is good,18-24,M,"Thane, Maharashtra",Student,July,2020,Q3
"Its quality is very good, i have used them for more than 2 years but they are still functional. These boat product has increased my faith on boat products.",18-24,M,"Thane,Maharashtra",Student,December,2021,Q4
"Using a wearable health device has been a valuable experience as it allows me to track my daily activity levels, sleep patterns, and heart rate effortlessly",18-24,F,"Thane,Maharashtra",Student,August,2022,Q3
"Its good 
its very easy to track your health",18-24,F,"Malappuram Kondotty, Kerala",Student,May,2022,Q2
Nil,18-24,F,Kerala,Student,January,2020,Q1
"It helps in calorie count, step count and a lot other things, but Charging it is a problem. It takes a lot of time to charge, and sometimes you don't know if it is Charging properly.",18-24,F,"Kalyan, Maharashtra ",Student,May,2023,Q2
It’s  better,18-24,M,"Dombivali, Maharashtra ",Student,September,2023,Q3
... ,18-24,F,"New Panvel, Maharashtra",Student,February,2021,Q1
Good,45-54,F,"Kalyan, Maharashtra",Homemaker,December,2021,Q4
Wearable health devices provide real-time insights and can be extremely useful during emergencies by alerting users to critical health conditions. Their convenience and reliability make them invaluable tools for personal health management.,18-24,F,"Mumbai, Maharashtra ",Student,July,2021,Q3
Nice,18-24,M,"Thane, Maharashtra ",Student,August,2022,Q3
Its good.Works well though I don't use it much ,18-24,F,"Pune, Maharashtra ",Student,January,2023,Q1
I use the boat smartwatch but it doesnt give any of such accurate information about heart rate or smtg like that. ,18-24,F,"Mumbai, Maharashtra ",Student,April,2021,Q2
Very good 👍,45-54,M," Hills And Barak Valley Division, Assam",Working Professional,April,2020,Q2
Good products,25-34,F," Phusro, Jharkhand",Homemaker,January,2022,Q1
Goodpr product good battery,Under 18,M," Srinagar, Jammu and Kashmir",Student,April,2021,Q2
Very good items,35-44,M," Kolkata, West Bengal",Freelancer,September,2021,Q3
Avg watch not worth it,35-44,F," New Delhi, Delhi",Homemaker,January,2020,Q1
Colour is not attractive,35-44,F," Cuttack, Odisha ",Homemaker,June,2021,Q2
Very good product also delivery person was best,35-44,M," Kanpur, Uttar Pradesh",Working Professional,November,2021,Q4
Product is first touching,35-44,M," Bhavnagar, Gujarat",Working Professional,April,2024,Q2
Good,25-34,M," Coimbatore, Tamil Nadu",Working Professional,August,2022,Q3
Disappointed me,25-34,M," Sulthan Bathery, Kerala",Working Professional,June,2023,Q2
"Charging issue found- very disappointed
Waste of money",25-34,M," Mumbai, Maharashtra",Freelancer,March,2023,Q1
Battery is good,Under 18,M," Mumbai, Maharashtra",Student,January,2021,Q1
Best watch,45-54,M," Chhapi, Gujarat",Working Professional,July,2022,Q3
"Very Poor Product Quality
Didn't expect the Quality of This product",35-44,M," Bhubaneswar, Odisha",Freelancer,March,2024,Q1
Value for money good product,18-24,M," Hyderabad, Telangana",Freelancer,July,2020,Q3
Value of money,25-34,M," Mohali, Punjab",Working Professional,December,2022,Q4
Very nice product,35-44,M," Pollachi, Tamil Nadu",Working Professional,August,2024,Q3
this watch is not turn on and very cheap don't buy this watch,18-24,M," New Delhi, Delhi",Working Professional,May,2020,Q2
Very nice product,Under 18,F," Chicholi, Madhya Pradesh",Student,November,2022,Q4
Value of money🥳,45-54,M," Thodiyoor, Kerala",Freelancer,September,2021,Q3
Best watch in price 👍,Under 18,M," Ahmedabad, Gujarat",Student,February,2022,Q1
Normal nice,45-54,M," Madhepura, Bihar ",Freelancer,November,2022,Q4
Ok nice,Under 18,F," Nandej, Gujarat",Student,October,2024,Q4
Very good product,45-54,M," Garulia, West Bengal",Freelancer,June,2024,Q2
I extremely disregard the product. it is totally ridiculous I am strongly desirous to return this product But Flipkart is denying however I have made the request within one hour from receiving the product I would suggest all of you to not to buy any gooda from this platform.,Under 18,M," New Delhi, Delhi",Student,June,2021,Q2
Nice 👍,35-44,F," Patna, Bihar",Homemaker,December,2021,Q4
