Reviews for Amazfit,Age,Gender,Location,        Occupation,Month,Year,Quarter
"Watch really good and premium quality.
Accuracy also good.
While coming to the zepp active application , it looks third class and I don't know what to say but very limited watch faces looks ugly and no one looks attractive .",55 and above,F," Bengaluru, Karnataka",Homemaker,March,2024,Q1
Just go for it.....,25-34,M," Ajmer, Rajasthan",Freelancer,August,2023,Q3
"The overall watch is good but can be better if provide the option to download 3rd party watch faces, circular/round style menu view, and a calculator.",35-44,M," New Delhi, Delhi",Working Professional,January,2021,Q1
"this watch goes dead after reaching 40 percentage of battery sometimes , the display appears whitish with grains i tried reaching the number they've provided for customer support but that number dosent exist, and after update not a single fitness feature works no spo2 meter no heart rate nothing i need proper response",Under 18,M," Athur Kanniyakumari District, Tamil Nadu",Student,October,2023,Q4
"The zepp active app does not sync with Google fit or with strava... please check the app review in the Play Store before you plan to buy this...very few usable watch faces, mostly unusable....THIS WATCH DOES NOT SYNC WITH ZEPP APP IT SYNCS ONLY WITH ZEPP ACTIVE APP....",18-24,M," Hosur, Tamil Nadu",Working Professional,December,2024,Q4
Long battery life 12 to 15 day,45-54,M," Chandigarh, Punjab",Working Professional,March,2021,Q1
"Product is excellent. battery backup with AOD and BT 2 to 3 days normal use 5 to 6 days
Design, future buil quality is good.black metal strap design is excellent value for money. Calling future is average. Nice smart watch Thanks Flipkart",25-34,M," Mahad Midc, Maharashtra",Homemaker,October,2024,Q4
Good,25-34,M," Anugul, Odisha",Freelancer,January,2024,Q1
The watch died within 2month of purchse,18-24,M," Indore, Madhya Pradesh",Freelancer,April,2022,Q2
Good,25-34,M," Malappuram, Kerala",Freelancer,December,2022,Q4
4 months after sharing my experience.. never purchase amazefit product. My display coming black screen sometimes.. I'm contacted for amazefit customer care but no response from there side. I'm disappoint😞,25-34,M," Thiruvananthapuram, Kerala",Freelancer,March,2022,Q1
Good,Under 18,F," Anthiyur, Tamil Nadu",Student,January,2023,Q1
"Activity do not record correctly,",35-44,M," Ghaziabad, Uttar Pradesh",Working Professional,October,2023,Q4
"The watch damaged with in one year, the switch stop working now the display is gone",55 and above,M," Kochi, Kerala",Retired,December,2021,Q4
Does not even use the same app as other amazefit watches,45-54,M," Ernakulam, Kerala",Homemaker,July,2021,Q3
"Worst Smartwatch Ever
Amazfit is the most premium scammer in India selling their defected products at high prices. I bought 5 piece of Pop 3R in which 3 have battery issues.",55 and above,M," Kolkata, West Bengal",Retired,November,2022,Q4
Good,25-34,M," Bengaluru, Karnataka",Working Professional,February,2023,Q1
"Look wise it is good but tracking sensors are not accurate.
When you are driving or you are on bike , watch will count it as steps.",55 and above,M,"  Pune, Maharashtra",Retired,December,2023,Q4
Superb,45-54,F," Berhampur, Odisha",Homemaker,July,2023,Q3
"Font of this watch is too small to read,
Waste of money.",25-34,M," Hunsur, Karnataka",Freelancer,June,2022,Q2
Very nice,18-24,M," Churi, Rajasthan",Working Professional,February,2021,Q1
The touch is not working exactly after 1 year.,55 and above,M," Kakinada, Andhra Pradesh",Retired,November,2022,Q4
Good look and reasonable price,18-24,F," Chennai, Tamil Nadu",Working Professional,January,2023,Q1
"This watch fails to maintain/track your exercise, It automatically reset it to 0. e.g If you have done cycling for 20 KM it failed to maintain that record and your records clear out automatically when you are about to finish your cycling. This happens 4 out of 5 times.
I have submitted the same complaint via their app twice but no such action taken to fix it from last 6 months.
Kind of a dummy watch if its exercise monitoring is not working- Please don't waste money in this watch.",Under 18,M," New Delhi, Delhi",Student,November,2021,Q4
Bad product,18-24,M," Nadia, West Bengal ",Freelancer,September,2024,Q3
Looks,45-54,M," Gurugram, Haryana",Freelancer,October,2021,Q4
After few month..stop working,35-44,M," New Delhi, Delhi",Freelancer,December,2023,Q4
"Value for money , Good display , Round display seems good in hand .",18-24,M," Thiruvananthapuram, Kerala",Freelancer,February,2021,Q1
Its not showing accurate walking or running status.,55 and above,M," Dehradun, Uttarakhand",Retired,October,2021,Q4
"The watch has been stopped multiple times and after two months of using it totally stopped working.
Don't buy this cheap Chinese product.",35-44,F," Jamshedpur, Jharkhand",Homemaker,February,2024,Q1
I m reviewing after using a month. Great product. but it's better lasts for 5-6 days of using continue using. If we use that product without all these function then bettery capacity is up to 12 days. Overall great,Under 18,M," Solan, Himachal Pradesh",Student,July,2020,Q3
"Charger became a problem after using one month.

After reported to customer care, they picked up that order no response till now. When see status of the watch it is in observation.

Customer care not even picking the calls",18-24,M," Kanchipuram, Tamil Nadu",Freelancer,October,2020,Q4
Very bad product . We can use watch only inside our house not for outdoor use,Under 18,M," Ernakulam, Kerala",Student,August,2020,Q3
Watch case will be destroyed slowly.,45-54,M," Chirala, Andhra Pradesh",Freelancer,September,2023,Q3
Not working within one month of purchase,Under 18,M," Ernakulam, Kerala ",Student,September,2022,Q3
Really amazing,Under 18,M," Panisagar, Tripura",Student,June,2021,Q2
"It has been three months since the purchase and the battery is not charging.
If you buy from the shop, you will get a guarantee iam disappoint",18-24,F," Kottayam, Kerala ",Working Professional,September,2023,Q3
Excellent watch to buy value for money,18-24,F," Jaipur, Rajasthan",Working Professional,June,2021,Q2
Waist of money,55 and above,M," Bhadrak, Odisha",Retired,September,2023,Q3
"Heart rate monitor is very inaccurate during exercise. If you are sitting and only moving your hand, heart rate increases very fast. Too bad",Under 18,F," Prayagraj, Uttar Pradesh",Student,September,2021,Q3
Good,Under 18,F," Barpeta, Assam",Student,March,2021,Q1
"It's very poor at tracking activities. Even when traveling by bus, it counts the steps inaccurately. Additionally, the mobile app for this model is substandard, lacking many essential functions. Overall, it has been a very disappointing experience for me.",Under 18,M," Thrissur, Kerala",Student,July,2023,Q3
good,Under 18,F," Chennai, Tamil Nadu",Student,April,2024,Q2
Smart product amazfit,55 and above,F," Thanoor, Tamil Nadu",Homemaker,November,2020,Q4
"Don't purchase it. it's totally money waste time and worst customer service.

Don't ever purchase the amaze fit watch.",35-44,M," New Delhi, Delhi",Working Professional,December,2024,Q4
"After one month of usage the device is not charging and if we charge full and it is draining with in a hour. Even we don't have proper costumer support to assist..

Worst experience..",18-24,M," Nellore, Andhra Pradesh",Working Professional,December,2023,Q4
Super product,45-54,M," Puttur, Karnataka",Working Professional,June,2022,Q2
Nice quality good battery back up,45-54,M," Coimbatore, Tamil Nadu",Freelancer,November,2024,Q4
Activity training is not accurate,45-54,M," Thane, Maharashtra",Freelancer,July,2020,Q3
Excellent product,18-24,M," Jamalpur, Haryana",Working Professional,May,2020,Q2
Awesome Watch ⌚ Thanks Flipkart 👍,55 and above,F,"  Pune, Maharashtra ",Homemaker,October,2021,Q4
Nice 👍🙂,35-44,F," Sant Ravidas Nagar, Uttar Pradesh",Homemaker,December,2020,Q4
Good,Under 18,M," Gurgaon, Haryana ",Student,January,2024,Q1
Not full display,25-34,M," Palakkad, Kerala ",Freelancer,November,2020,Q4
Worth for money,45-54,F," Tiruchirappalli, Tamil Nadu",Homemaker,October,2020,Q4
Not Satisfied,55 and above,M," Namakkal, Tamil Nadu ",Retired,May,2022,Q2
Amazing look 🤩 value for money and accuracy but just slow connect else everything is nice ☺️,Under 18,F," Khordha, Odisha ",Student,August,2021,Q3
Basic model so expensive,35-44,F," Ranipettai, Tamil Nadu",Homemaker,February,2024,Q1
Battery backup only one day,Under 18,M," Haldwani, Uttarakhand",Student,June,2024,Q2
Within 1 month of usage battery not recharging,Under 18,F," Ernakulam, Kerala",Student,January,2023,Q1
"Best smartwatch ever!

Display:
The AMOLED display is a treat to the eyes. The details are superb!

Battery:
Basis feature usage, lasts anywhere between 10-23 days!

Features:
Meets all or most of the needs. The only think missing is internal storage.

Color:
I personally feel the grey color (somewhat cement grey) looks way better than black in reality. It’s neither too dark, nor too light. Goes well when you combine it with good watch faces and with most of the outfits!

Watch Faces:...
READ MORE",25-34,M," Bengaluru, Karnataka",Freelancer,May,2021,Q2
"Best in activity, BPM, Sleep Monitor System.
Shock Resist Design. Comfortable to wear,
Need features like All application Notification and Map",Under 18,M," Alappuzha, Kerala",Student,February,2024,Q1
Good product 👍,18-24,M," North Twenty Four Parganas District, West Bengal",Freelancer,July,2022,Q3
"Reasons I chose this against more spec filled smartwatches out there are:

1.The look- I don't want some shitty rectangular or square or plain circular smartwatches.I am a huge fan of gshock and I need a sporty look and rugged design which T-Rex is fantastic at.

2.AMOLED-As we all know the difference between amoled and some TFT or LCD screens.amoled also helps in battery performance.

3.Battery-This is a beast in that.I almost lost my charger as I don't use that often.I tested like a normal ...
READ MORE",25-34,M," Kothagudem, Telangana",Freelancer,June,2022,Q2
Watch is nice but Zepp App need to be update for this Amazfit T-Rex smart watch.. battery is nice working.. i reviewed after 3 days of use and i activated all notification on my watch and still this watch has 77% battery life,25-34,M," New Delhi, Delhi",Working Professional,May,2023,Q2
"It is a rugged watch with amazing battery life and accurate activity tracking. The design is sporty, it looks heavy but it is not that heavy. Strap quality is also good. Overall this watch is worth buying...",35-44,M," Berhampur, Odisha",Working Professional,December,2022,Q4
A bit expensive as compared to others but completely satisfied with the quality and features.,18-24,M," Kangra District, Himachal Pradesh",Freelancer,September,2022,Q3
"GOOD QUALITY,
GOOD DISPLAY
BETTER BATTERY LIFE
WATER PROOF (TESTED)
GOOD SILICONE STRAP",Under 18,F," Kunnummal, Kerala",Student,March,2024,Q1
Value for money,35-44,F," Bangarapet, Karnataka",Homemaker,February,2020,Q1
one the best,45-54,M," Maralia, Jammu and Kashmir",Working Professional,October,2023,Q4
Cool watch with great features... It's amazing..,45-54,M," Puthenvelikkara, Kerala",Working Professional,January,2021,Q1
It's motion sensor is very slow otherwise it's ok,18-24,M," Kochi, Kerala",Working Professional,January,2021,Q1
Value for money. Bought this during BBD. Tracks every activity with details and those activities can be accessed in the app in you phone. Sporty look but very light weight as compared to G-Shock. Strapes are irritation free and can ne worn for a longer period of time. About battery life its a monster in that aspect have been using this since last 2 week with all the features turned on and the battery is still at 60. Highly recommend if you are looking to buy this.,18-24,M," Jamshedpur, Jharkhand",Freelancer,May,2023,Q2
"Design and look of watch is up to the mark, i am giving this review after 15 days of use, it's battery last for 11-12day, truly water resistant, used during swimming, bathing, squba. A small feature like blood oxygen monitor is missing rest all is good 👍 go for it awesome watch ⌚ price is for the quality of product.",55 and above,M," Kalyan, Maharashtra",Retired,October,2020,Q4
Easy to use and best design ..nice battery back up,45-54,M," Palai, Kerala",Working Professional,October,2023,Q4
"Super Build, Awesome Watch.
Pros: Amoled Display, Battery backup, Built Quality, AOD, Compass, Music Control, Gorila Glass 3 protection
Cons: only 3 preset watch faces in watch but using 3rd party apps u can use multiple watch faces. Screen lock is sometime glitchy.
Note: In this Non pro model following are missing - SpO2, Stress, Camera Shutter, Barometer/Altimeter, Multiple workout mode. No calling or message reply, can view notifications only.
Overall its a Value for Money watch, gives u f...
READ MORE",35-44,M," Bengaluru, Karnataka",Freelancer,December,2023,Q4
The good than the good then another watch and battery as very good and beautiful 9 days battery life .,18-24,F," Mumbai, Maharashtra",Working Professional,August,2020,Q3
"When it launched i had bought it for almost 12k. The price has now drop to about 6k so definately value for money. This thing is built like a tank. Rugged and sturdy. Feels like a casio or a garmin. The strap is very soft and elstic making it real comfortable to wear. Battery life is mind blowing. I dont remeber when i charged it last and yet there is 50% battery still remaining. The supporting app is amazing a fluid with lots of options to track your health. What you dont get is a spo3 senso...
READ MORE",55 and above,M," New Delhi, Delhi",Retired,April,2021,Q2
It was nyz one.,55 and above,M," Rewa, Madhya Pradesh",Retired,June,2023,Q2
Nice watch 😊😊😊,Under 18,F," Aligarh, Uttar Pradesh",Student,August,2020,Q3
"It's been 6months since i've bought this product...until now i was really impressed for every thing this watch got. No complaints in design and software.
Could be useful if we got spo2 tracking in it.

Still its very good product for that price range.",35-44,M," Gudivada Krishna, Andhra Pradesh ",Working Professional,June,2022,Q2
"Good Basic ⌚ used Gear S3 for 5 years .
Pros first -
Battery life with Display On 24x7 = 5 Days
Charging is fast = 2 hr full charge
Look and feel is good more of sports
Tough, durable and very light only looks bulky
Cons -
Activity related data accuracy
Lack of resources (Ex -WF/App)
Quality of material used (not skin friendly after 6-8 hr)",35-44,F," Ghaziabad, Uttar Pradesh",Freelancer,May,2022,Q2
Awesome,Under 18,M," Thrissur, Kerala",Student,June,2024,Q2
worth,35-44,M," Nilakkottai, Tamil Nadu",Freelancer,March,2022,Q1
Good martwach,18-24,M," Thiruvananthapuram, Kerala",Freelancer,December,2022,Q4
Watch is perfect for looks and build quality. But the biggest drawback is the inability to change the watch's always on display face. There are only two options to choose( digital & analog) irrespective of what watchface we set. Amazefit should consider changing this by ota update. Like... It's just 2 watch faces everytime other's look at your watch. Duhh !,Under 18,F," Secunderabad, Telangana",Student,March,2022,Q1
Nice,25-34,F," Bengaluru, Karnataka",Freelancer,May,2021,Q2
Great 👍,18-24,M," Muzaffarnagar, Uttar Pradesh",Working Professional,April,2020,Q2
"Flipkart delivery & packing: As committed the product delivered with safe packaging on estimated time 5 star

Watch 3 days analysis report.

The build quality & appearance is good. First fully charged and started using.

Step count, walking. cycling & running GPS positioning is good and the data accurate. Below is the summary.

The below activity GPS on and checked.

Walking: 389minutes, running 79minutes, Cycling 20minutes & Swimming 18minutes. Totally around 8:45 minutes GPS on conditi...
READ MORE",Under 18,M," Viluppuram District, Tamil Nadu",Student,December,2024,Q4
"Awesome product in this price segment, I love it because I m G-Shock user , I want this type of smart watch only. Not for mom's boy this is for tough guy. ;)",45-54,M," Nashik, Maharashtra",Working Professional,August,2024,Q3
Go for it..,45-54,F," Wayanad District, Kerala",Homemaker,December,2020,Q4
Value for money watch,25-34,M," Faridabad, Haryana",Freelancer,September,2023,Q3
Excellent in price,25-34,M," Visakhapatnam, Andhra Pradesh",Working Professional,June,2024,Q2
Brand quality is amazing,Under 18,M," Nagercoil, Tamil Nadu",Student,May,2022,Q2
Very light weight watch,Under 18,M," West Godavari, Andhra Pradesh ",Student,February,2023,Q1
Best in this price range,45-54,M," Bengaluru, Karnataka",Freelancer,September,2021,Q3
"This watch perfectly fits athletic tracking needs. It has inbuilt GPS and is very rugged enought to withstand scorching heat, humidity.Have been using this for cycling and running tracking and it works perfectly fine. Have used this in swimming pool and it tracks the laps perfectly. Overall it's value for money device for sports/activity/athletes.",Under 18,M," Chennai, Tamil Nadu",Student,June,2024,Q2
Its fine. Nothing exciting and nothing wrong,45-54,M," Bankura, West Bengal",Freelancer,August,2022,Q3
Such a nice smart watch with milatary grade.,45-54,M," Lucknow, Uttar Pradesh",Working Professional,January,2024,Q1
I like it,25-34,M," Ernakulam, Kerala",Freelancer,November,2023,Q4
All good but battery is not much more is it giving 10 days backup thats it,18-24,M," Mancherial, Telangana",Working Professional,December,2022,Q4
Good choice,55 and above,M," Ernakulam, Kerala",Retired,October,2024,Q4
Super,45-54,F," Bengaluru, Karnataka",Homemaker,June,2022,Q2
"Nice watch normal useage battery backup 20days quality good heart reat, sensor ok and setps count accurate everything is fine.",18-24,M," Kamareddy, Telangana",Freelancer,November,2024,Q4
Nice,18-24,F," Madurai, Tamil Nadu",Working Professional,December,2022,Q4
Good with less feature,35-44,M," Brahmabarada, Odisha",Working Professional,January,2023,Q1
"After first 10 % charge battery backup is awesome,,, activity tracker is good,, awesome Design,,,",55 and above,M," Uluberia, West Bengal ",Retired,January,2021,Q1
Good,25-34,M," Mahesana, Gujarat",Freelancer,May,2020,Q2
"I am using it for last 5 months, and I am fully satisfied. Though there are some missing links, like blood pressure monitor, pulse rate etc but it has a very good gps. It tracks every corner of your trail. I used it in trekking and it can easily track the elevation gain. It is waterproof and I have the proof 😃😃. It's really durable, value for money",18-24,M," Kolkata, West Bengal",Freelancer,August,2021,Q3
"Pros:
1 - Sturdy dial casing and button quality
2 - Lightweight
3 - Value for money
4 - Activity tracking is quite accurate
5 - Took me ~1 hour to charge from 30% to 100%

Cons:
1 - Strap quality is flimsy
2 - UI and scroll functioning lags at times, especially the “twist the wrist to view time”
3 - Cannot reply to message notifications",55 and above,M," Thane, Maharashtra",Retired,August,2021,Q3
"Amazing watch
Amoled display is top notch
Watch Faces are really awesome
sturdy design with military certification
steps count are accurate with gps positioning
At this price point bettrr than noise and fireboltt",55 and above,M," Ahmedabad, Gujarat",Retired,May,2023,Q2
"This product is good working and perfact design. But battary is poor charge is down quickly.thish watch onece charge working 5 days only(an used for apps ex heart rate,sleepin,gps tracking,ets).and only looking time not used the application then once charge working up to 15 days

Note:thish watch using only fitness carried. Not like office use",55 and above,M," Attur, Tamil Nadu",Retired,February,2023,Q1
Value for money buy it,Under 18,M," Madurai, Tamil Nadu",Student,August,2023,Q3
One of the most rigid smartwatch ever wear.,Under 18,M," Srinagar, Jammu and Kashmir",Student,May,2023,Q2
"the outdoors in mind, with a unique and rugged design, decent battery life and solid activity tracking. While it is a little expensive as a fitness tracker, it offers a lot that others don’t, such as a big AMOLED display and military-grade ruggedness.",55 and above,M," Dharwad, Karnataka",Retired,August,2023,Q3
Nice watch,Under 18,M," Rajgamar, Chhattisgarh",Student,January,2022,Q1
good and happy,Under 18,M," Diamond Harbour, West Bengal",Student,June,2023,Q2
Nice watch..,55 and above,M," Tenkasi, Tamil Nadu",Retired,February,2024,Q1
😘 very good product,25-34,M," Malegaon, Maharashtra",Working Professional,July,2024,Q3
Good quality,Under 18,M," Karungal, Tamil Nadu",Student,November,2021,Q4
Good watch,45-54,M," Neduva, Kerala",Freelancer,July,2020,Q3
Long battery time,55 and above,F," Mumbai, Maharashtra",Retired,January,2020,Q1
Nice,45-54,M," Thodupuzha, Kerala",Working Professional,August,2021,Q3
This very good 😊😘,Under 18,M," Coimbatore, Tamil Nadu ",Student,September,2021,Q3
"Worth the money paid. Super performance, design and built",18-24,M," Thane, Maharashtra",Freelancer,April,2021,Q2
"After call drop, my watch notification continue run.",35-44,M," Guwahati, Assam",Working Professional,July,2021,Q3
"A very great buy, as it is a rugged watch and the design is amazing and the battery life with medium brightness will last for a really long time I charged it 37 days back and it’s still 60%. And it’s as durable as the ad shows. Loved it",25-34,F," Bengaluru, Karnataka",Homemaker,October,2020,Q4
"Warranty period over watch also over.my friend also used this watch but my is dead.my frds watch is working. And I speak poor English but this watch..... Flipka**to by this amazfit smartwatch.my warranty over watch is dead.i am from Salem, Tamil Nadu. Please 🙏 first search service centre on you please thank you 🙏🙏🙏",55 and above,F," Salem, Tamil Nadu",Homemaker,March,2024,Q1
"Please don't buy,
no battery life
No updates
Watch faces are very few",25-34,M," Chennai, Tamil Nadu",Freelancer,April,2020,Q2
It's been almost 1 year of usage. It's doing good. Good design,35-44,F," Bengaluru, Karnataka",Homemaker,February,2021,Q1
"Im using this watch... exact one year later it's showing technical issues many time restarting ,hanging...etc

Im not happy with this things",18-24,M," Mumbai, Maharashtra",Working Professional,May,2022,Q2
The best watch ever. The design is very noticeable and very light weight.,25-34,M," Ranchi, Jharkhand",Freelancer,May,2020,Q2
"Gud product, satisfied",55 and above,M," Chengalpattu, Tamil Nadu ",Retired,September,2021,Q3
Extremely poor connectivity. The zepp app always gets disconnected.,Under 18,M," Lucknow, Uttar Pradesh",Student,November,2022,Q4
Super and best product,45-54,M," Chennai, Tamil Nadu",Working Professional,July,2024,Q3
Very nice product,25-34,M," Pimpri Chinchwad, Maharashtra",Working Professional,August,2021,Q3
Good one on of the most like outdoor treaking features is awosome worth for it,18-24,M," Pen, Maharashtra",Freelancer,November,2022,Q4
Nice 👍🙂,25-34,F," Trichy, Tamil Nadu",Homemaker,July,2022,Q3
Good product,25-34,M," Kozhikode, Kerala",Freelancer,April,2021,Q2
There are less features but the quality of the watch is awesome,Under 18,F," Chennai, Tamil Nadu",Student,September,2023,Q3
Damn good one,45-54,M," Thrissur, Kerala",Working Professional,May,2022,Q2
"Value for money,",55 and above,F," Kangeyam, Tamil Nadu",Homemaker,January,2022,Q1
"Good quality, awesome tracker",Under 18,M," Harur, Tamil Nadu",Student,September,2024,Q3
good one,Under 18,F," Malappuram, Kerala ",Student,October,2022,Q4
Nice watch,55 and above,F," Chennai, Tamil Nadu",Homemaker,October,2023,Q4
"Good watch. With reduced price, definitely Okay.",Under 18,F," Siliguri, West Bengal",Student,June,2021,Q2
Good 💥,35-44,M," Moothakunnam, Kerala",Working Professional,April,2020,Q2
Worth,25-34,M," Coimbatore, Tamil Nadu",Freelancer,August,2024,Q3
Yeah it’s Good product go for it and it was better to ios users also,35-44,M," Kakinada, Andhra Pradesh",Working Professional,June,2021,Q2
My ever favourite,18-24,M," Sikka, Gujarat",Working Professional,January,2022,Q1
"This watch' call and notification not working,
All recommend pls not buy this watch'💔🙂",25-34,M," Kanchrapara, West Bengal",Freelancer,September,2023,Q3
Good for price,18-24,F," Bengaluru, Karnataka",Working Professional,October,2020,Q4
"I loved it.really cool,battery is outstanding. I think may be it have call attending feature it will be more good.",45-54,F," Koduvally, Kerala",Homemaker,January,2024,Q1
Good,18-24,F," Guntur, Andhra Pradesh",Working Professional,July,2022,Q3
Activity tracker is not that good otherwise it is solid awesome watch for daily usage.,25-34,M," Greater Noida, Uttar Pradesh",Working Professional,May,2022,Q2
It's awesome,25-34,M," Surat, Gujarat",Working Professional,April,2023,Q2
Good product 👍 thank you 😜,35-44,M," Karimnagar, Telangana",Freelancer,December,2021,Q4
Good looking nice ⌚,45-54,M," Thiruvalla, Kerala",Freelancer,June,2022,Q2
"Watch is very Premium and well built but there are some issues which needs a fix through firmware update.Pros :1. Large Battery 🔋 which can easily last for 3-4 days with heavy usage(All Day Monitoring Turned on, AOD on, Phone Calls etc) and 8-9 days on light usage.2. GPS is very accurate.2. Zepp OS is evolving and slowly the 3rd party app ecosystem is growing.3. Latest PPG Biotracker 4.0 is a welcome change.4. Butter smooth UI experience.5. Almost 2.3 GB space is available for side lo...READ MORE",25-34,F," North Twenty Four Parganas District, West Bengal",Homemaker,April,2021,Q2
"Expected more, but overall it's a good one",Under 18,M," Hyderabad, Telangana",Student,November,2020,Q4
"Amazing product.
Value for money .
Pro:
All the important bio trackers are present
Battery lasts for 5 days on continuous use
Cons:
Temperature sensor missing.
Bluetooth calls don't work on iOS. It works on Android.",35-44,M," Kolkata, West Bengal",Working Professional,September,2024,Q3
An awesome watch to add to your collection. The watch looks amazing and is very comfortable and light weight.,55 and above,M," Bengaluru, Karnataka",Retired,February,2023,Q1
Good,55 and above,M," Ramanagara, Karnataka",Retired,August,2023,Q3
Truly amazfit!,45-54,M," Mumbai, Maharashtra",Working Professional,August,2023,Q3
"Amazing amazfit !!
Total loved the design and smoothness of the watch interface. Also the size of the screen is perfect for my wrist.
Took some time to figure out the Bluetooth connectivity settings for incoming calls.
Overall user experience is good but I feel it is a bit over priced it should have been sold at around 12k.",35-44,F," Guwahati, Assam",Homemaker,July,2020,Q3
"This is good device tracking your fitness goals.

Buy it only if you are fitness freak and use the multiple features provided. If you just need a step counter and to show something on your wrists, this is costly affair.

Having said that, it is worth buying for athletes. It even look good when you wear on formals in office.

It gives a rich look and attracts attention of others.

GPS Start time is little slow but still okay",35-44,M," Aurangabad, Maharashtra",Freelancer,March,2024,Q1
"Amazing product, compared to ultra apple watch or samsung watch 5 ,amazfit gtr 4 easily beat both",45-54,M," New Delhi, Delhi",Working Professional,April,2022,Q2
"Amazing loved it.
Awesome features, superb display, call function, activity tracker. Good battery back up.",55 and above,M," Kolkata, West Bengal",Retired,March,2022,Q1
Nice product. Weight less cool features with lots of attractive wach faces.,18-24,M," Kollam, Kerala ",Freelancer,January,2021,Q1
Excellent smartwatch by Amazefit👌,18-24,M," Kasganj, Uttar Pradesh",Freelancer,April,2021,Q2
"Zepp has solved the bluetooth calling issues ...Watch is the best in the market in terms of looks absolute beauty and bluetooth calling far superior to the budget watches only the voice is low

Don't think about it ...just go for it
Thanks to the zepp team and amazfit team",45-54,M," Sangamner, Maharashtra",Freelancer,June,2020,Q2
One of the finest ⌚.,45-54,M," Noida, Uttar Pradesh",Freelancer,June,2022,Q2
"Watch is nice but not supporting all apps for notifications.
One more thing, dont go for brown leather belt. its not long lasting, in 2 days many wrinkles are visible. go for black strap.",55 and above,M," Satara, Maharashtra",Retired,August,2023,Q3
"Review after 3 months.

*Comes with 3425 MB storage,
*Super battery backup capacity. Normal usage 15days and heavy usage (Bluetooth calling, 2hrs workout, playing songs from it) 6 days.
*Zeb app features are cool.
*The display is super, so many times the screen is touched by the wall, bench and gate but nothing happened to the screen.
*New watch faces are added in each update.",45-54,M," Bengaluru, Karnataka",Working Professional,October,2023,Q4
Good Product. Worth buying.,18-24,F," Bengaluru, Karnataka",Working Professional,January,2024,Q1
Amazing 🤩,18-24,M," Pithampur Industrial Hub, Madhya Pradesh",Freelancer,July,2021,Q3
"Over all good product and features, quality is good,
Missing 1 strap in the box",18-24,M," Mumbai, Maharashtra",Working Professional,August,2021,Q3
"Worth every Pen, Maharashtrany",Under 18,M," Ahmedabad, Gujarat",Student,March,2022,Q1
Price is a bit higher but satisfied. Specially activity tracking does really exceptional when it comes to accuracy.,18-24,M," Bengaluru, Karnataka",Freelancer,September,2021,Q3
"Watch is exactly as described in the product info, you will be happily satisfied if you know what you are buying. Looks good and measures health data fairly accurately, have enough watch faces including animated ones which can be stored on the watch itself cos of inbuilt memory.
Amazfit is perfect middle ground between these smartwatch brands which launch a new model every week and those which are over overtly expensive (like samsung/apple etc)",55 and above,F," Ghaziabad, Uttar Pradesh",Homemaker,August,2022,Q3
"Value for money, quality of strap is bit less, i recommend this watch for fitness goals, official, trend path package product...,",Under 18,M," Kanakapura, Karnataka",Student,February,2024,Q1
"Using it since 1 month
Very nice product. I Love it
Premium quality with Premium features
But the price is on a little higher side",35-44,M," Kolhapur, Maharashtra",Working Professional,March,2020,Q1
Amazing watch from amazfit. But some problems happening relating to the call connection,25-34,M," Palakkad, Kerala ",Working Professional,September,2020,Q3
Nice watch,55 and above,M," Thane, Maharashtra",Retired,October,2023,Q4
"Good for tracking and looks awesome, accuracy little doubtful",18-24,M," Guwahati, Assam",Freelancer,September,2024,Q3
Beautiful watch,45-54,M," Ichalkaranji, Maharshtra",Freelancer,July,2024,Q3
It was okay... Over priced and overrated.. Dont waste ur money....,35-44,M," Salem, Tamil Nadu ",Freelancer,November,2024,Q4
Amazing watch.,35-44,M," Bengaluru, Karnataka",Freelancer,December,2023,Q4
Not able to accept calls on IOS 16 and above,35-44,M," Kishanganj, Bihar",Working Professional,August,2021,Q3
"Connectivity with iphone is issue, constantly disconnecting. Hope amazfit will resolve this in future updates. Apart from this the watch is exceptional.",Under 18,M," Jspl Town Anugul Township, Odisha ",Student,June,2022,Q2
Ok I like it 😊,25-34,M," Khammam, Telangana",Freelancer,July,2023,Q3
"Although it is my first smartwatch I would like to add few things. Watch looks very premium. Good build quality. Brightness and speaker volume is decent. But i did notice a problem. The step counts are not accurate. Even if you shake your hand it counts as a step. So that's a con in the watch. Not sure it will be solved it by update. Sleep, SpO2, Heart Rate tracking is also good.",55 and above,M," Mumbai, Maharashtra",Retired,December,2021,Q4
Very good watch Build quality is also very good Looks good but body temperature is not the future,25-34,M," Varanasi, Uttar Pradesh",Freelancer,December,2022,Q4
"I have used many smart watches including Apple Watch 8 but definitely in all terms this is a gem.
Display - same as Samsung galaxy watch
Features - except ECG and temperature every thing can meet Apple Watch accuracy levels.
Battery - no other watch even in flagship segment can beat this watch battery life
Strap and built quality - top notch same as galaxy watch
Tacking information - better than Samsung galaxy
Watch interface - same as Samsung galaxy
Over all the best watch for that price",45-54,M," Hyderabad, Telangana",Working Professional,April,2023,Q2
"Pros :
Display quality
Battery life
Design
App support
Easy synchronisation
Connectivity
Light Weighted


Cons:
No NFC",18-24,M," Ernakulam, Kerala",Freelancer,May,2022,Q2
"Nice watch but display is not scratch proof , please buy a screen guard along with it",55 and above,M," Bengaluru, Karnataka",Retired,December,2020,Q4
Feature loaded smartwatch,18-24,M," Faridabad, Haryana",Working Professional,January,2024,Q1
