Reviews for Noise,Age,Gender,Location,        Occupation,Month,Year,Quarter
Nice watch,18-24,F," Bharuch, Gujarat",Working Professional,March,2024,Q1
Nice product,35-44,F," Puri, Odisha",Homemaker,January,2023,Q1
Very nice and good value for money nice and good 👍👍,45-54,M," Jaipur, Rajasthan",Working Professional,August,2021,Q3
The product it's good and I like this function.😁👍😒,45-54,M," Kanpur, Uttar Pradesh",Freelancer,September,2024,Q3
"This smart watch is great but the calculator doesn't work as well as the phone calculator.Also, the smartwatch has a very good battery life.😌😊",35-44,F," Dankuni, West Bengal",Homemaker,September,2022,Q3
Very nice smart watch ⌚⌚⌚⌚⌚,Under 18,M," Gurugram, Haryana",Student,February,2021,Q1
Amezing product 👌👌👌,25-34,M," Siwan, Bihar ",Working Professional,July,2023,Q3
It is very super. Battery run upto 7 days. Bt calling is very great. Mic is work's super voice quality.,Under 18,F," Madurai, Tamil Nadu ",Student,July,2022,Q3
Watch experience is good on this price range 💯❤,35-44,M," Varanasi, Uttar Pradesh",Working Professional,September,2021,Q3
"IT'S OK 😊

NOT BAD 🙃

GOOD PRODUCT 👍",35-44,M," Mohali, Punjab",Working Professional,November,2020,Q4
Value of money 💰🤑🤑 perfect 🥰🥰🥰,25-34,M," Rampurhat, West Bengal",Working Professional,September,2023,Q3
Its really amazing. Easy to use. Beautiful on the wrist. Safely delivered by ekart. Box was opened in front of us. Lot of features. Speaker is too good.,45-54,F," Kanpur, Uttar Pradesh",Homemaker,January,2021,Q1
Good product noise,45-54,M," Tijara, Rajasthan",Working Professional,June,2023,Q2
Very nice watch ⌚️,35-44,F," Shiroli Midc, Maharashtra",Homemaker,December,2020,Q4
"Can't able to turn Off Heart monitor option
Steps tracking wrongly calculated
Sleeping time also calculating totaly wrong
Heart beat monitoring even I doesn't wear it
Sometimes call from contacts it's only show numbers only not a name in watch
Watch face sometimes automatically changed",18-24,M," Chennai, Tamil Nadu",Freelancer,December,2022,Q4
BT calling not working. Also face too difficulties to connect watch with bluetooth. Battery fastly discharged.,Under 18,M," Ranchi, Jharkhand ",Student,June,2022,Q2
So beautiful 😍❤️ product.I love 💕 that.,45-54,M," Deoria, Uttar Pradesh",Freelancer,September,2020,Q3
This good but I don't like,Under 18,M," Silao, Bihar",Student,October,2022,Q4
Good 👍,45-54,F," Kanpur, Uttar Pradesh",Homemaker,December,2024,Q4
Good Product,35-44,M," Garbeta, West Bengal",Freelancer,January,2023,Q1
"Nice looking watch ⌚⌚
Thank you filpkart..i love it❤️❤️❤️❤️",Under 18,M," Baudh District, Odisha",Student,October,2024,Q4
"Using this Smart watch from 1 month
1. Good looking
2. Easy to use.
3. Packed with handy assist features.
4. Long life battery.
5. Solid metal body with premium touch to its durability.",Under 18,M," Kamrup, Assam ",Student,July,2023,Q3
Nyc watch,35-44,F," Mahuda, Jharkhand",Freelancer,September,2020,Q3
There is no remark in this. Love this🖤,Under 18,M," Samalkot, Andhra Pradesh",Student,July,2022,Q3
Super... 💞💞,55 and above,M," Darbhanga, Bihar",Retired,June,2024,Q2
Osm product I love it 💞,18-24,F," Maldah, Madhya Pradesh",Working Professional,June,2023,Q2
Watch is great but it does not have calculator,25-34,F," Buldana, Maharashtra ",Working Professional,July,2021,Q3
Awesome product 😀l,18-24,M," Raniganj, West Bengal",Freelancer,February,2022,Q1
Nice watch,55 and above,F," Kheda, Gujarat ",Homemaker,June,2021,Q2
"It's Good Product buying By Virat Yadav Lalganj, Uttar Pradesh",25-34,M," Lucknow, Uttar Pradesh",Working Professional,July,2020,Q3
I love this smartwatch,25-34,M," Chandrapura, Jharkhand",Freelancer,January,2020,Q1
Nice looking for watch ⌚ feature very good but tracking activity some issues,25-34,M," Mumbai, Maharashtra",Freelancer,May,2024,Q2
Nice 👍👍👍,Under 18,M," Hyderabad, Telangana",Student,November,2023,Q4
Nice watch,Under 18,M," Baliapur, Rajasthan",Student,December,2022,Q4
Good design and good lucking,18-24,M," Bengaluru, Karnataka",Freelancer,December,2020,Q4
Good noise,35-44,M," Chakan, Maharashtra",Freelancer,March,2024,Q1
Battery backup is Nice ...15 to 20 days,35-44,F," Ozar, Maharashtra",Freelancer,November,2023,Q4
"After use 24 hours review, battery draining fast , Camera control proper not working , u can control music not play with this device . Design is very Good over all I give 3 star .",35-44,M," Meerut, Uttar Pradesh ",Working Professional,December,2020,Q4
Yes like this item,55 and above,M," Hazaribagh, Jharkhand",Retired,March,2020,Q1
Nice but Nice looking,18-24,F," Saran District, Bihar",Working Professional,July,2022,Q3
One of the good product I reserved 🐱,18-24,M," Kulti, West Bengal",Freelancer,February,2022,Q1
Good review on watch only,55 and above,F," Thiruvananthapuram, Kerala ",Homemaker,August,2024,Q3
Without mobile phone this product is very worst 😭,18-24,F," Gangarampur, West Bengal",Working Professional,March,2022,Q1
Very good product,25-34,M," Bengaluru, Karnataka",Freelancer,July,2020,Q3
Good product. 👍,35-44,M," Roha Ashta, Madhya Pradesh",Working Professional,August,2023,Q3
Product is very good but it's alarm is not working and Sometimes it steps counter not work But the product is very nice,18-24,F," Indergarh, Rajasthan",Working Professional,November,2024,Q4
Best mast beauti full,55 and above,M," Ramnagar, Uttarakhand",Retired,January,2024,Q1
Awesome product 🤠,Under 18,M," Kanpur, Uttar Pradesh",Student,July,2023,Q3
Very good,35-44,F," Muzaffarpur, Bihar",Freelancer,June,2023,Q2
Very nice,25-34,M," Gaya, Bihar ",Working Professional,December,2024,Q4
"This is a best product and battery 🔋 is a best quality as a price
But this is not full smart by the way this a best product according to value",35-44,M," Behror, Rajasthan",Freelancer,December,2023,Q4
"This product was very good. This watch have many good features like, ai vice, calculator and games . I love this watch very much",45-54,F," Sultanpur, Uttar Pradesh ",Homemaker,November,2020,Q4
I loved it,Under 18,F," Chanchal, West Bengal",Student,September,2023,Q3
Good watch',45-54,F," Sunam, Punjab",Homemaker,August,2023,Q3
Awesome 👍😎,Under 18,M," North Barrackpur, West Bengal",Student,May,2024,Q2
Just awesome,55 and above,M," Jamuria, West Bengal",Working Professional,January,2023,Q1
It's really nice product go for it,25-34,M," Gurugram, Haryana",Working Professional,November,2021,Q4
Very nice noise smartwatch in the segment,25-34,M," Shikarpur, Uttar Pradesh",Working Professional,October,2024,Q4
this watch is very nice ❤️👍,35-44,M," Binola Industrial Area, Haryana",Working Professional,August,2021,Q3
Noice is brand,35-44,M," Gokunda, Maharashtra",Freelancer,September,2022,Q3
"The product is very good I like it because it has many features
But the calculator is not working 🚩🇮🇳",25-34,F," Noida, Uttar Pradesh",Homemaker,June,2021,Q2
"Very good watch ⌚️ this price range
Un expected this price watch
It's very good watch
Thanks for Noise Thrive",18-24,M," Bansberia, West Bengal",Freelancer,March,2023,Q1
Very nice product price according...✌️👍✌️,18-24,M," Gwalior, Madhya Pradesh ",Freelancer,September,2020,Q3
Good product but brightness control not available,55 and above,M," North Barrackpur, West Bengal",Retired,August,2023,Q3
super performance 🥰🥰🥰👌👍,Under 18,M," Tirupur, Tamil Nadu",Student,February,2020,Q1
Waste of money,Under 18,F," Northern Division, Odisha",Student,August,2024,Q3
Great experience!!,25-34,F," Chennai, Tamil Nadu",Homemaker,April,2021,Q2
Product was good,25-34,M,"  Pune, Maharashtra",Freelancer,February,2024,Q1
Good,55 and above,M," Bengaluru, Karnataka",Freelancer,February,2024,Q1
Good morning,25-34,F," Saharanpur, Uttar Pradesh",Homemaker,March,2021,Q1
