Reviews for Fireboltt,Age,Gender,Location,        Occupation,Month,Year,Quarter
Good product,35-44,F," Hyderabad, Telangana",Homemaker,November,2023,Q4
Value for money product,45-54,M," Jaipur, Rajasthan",Working Professional,October,2021,Q4
Nice product.,25-34,F," Bengaluru, Karnataka",Homemaker,November,2023,Q4
EXCILLENT PRODUCT,18-24,M," Nashik, Maharashtra",Freelancer,August,2021,Q3
It's been only 1day can't tell the exact review but to summarise as a new buy the design is ok. After using it for a few more months i will give you a prompt review.,45-54,M," Tumakuru, Karnataka",Freelancer,October,2023,Q4
Good product,Under 18,F," Gondiya, Madhya Pradesh",Student,June,2022,Q2
Good watch,Under 18,M," Gwalior, Madhya Pradesh",Student,December,2020,Q4
Good,55 and above,F," Erode, Tamil Nadu ",Homemaker,August,2021,Q3
Good product at this price point. Good practicality.,35-44,M," Bengaluru, Karnataka",Freelancer,September,2020,Q3
"Good product. Good features, value for money, nice looking.... can be positive purchased for everyone.",35-44,M," Kolkata, West Bengal",Working Professional,March,2021,Q1
Very good product and delivery experience is also good. Thank you............,Under 18,M," Faridabad, Haryana",Student,February,2022,Q1
Cant connect for calling notifications to phone.,Under 18,F," New Delhi, Delhi",Student,April,2024,Q2
"This is not smart watch ,this is mobile so if you want smart watch then please don't go with this",55 and above,M," Sinnar, Maharashtra",Retired,August,2022,Q3
Product design and quality is good but battery capacity is poor and should have included gorilla Glass protection,35-44,M," Bengaluru, Karnataka",Student,February,2023,Q1
This item such as good,Under 18,M," Barpeta, Assam",Homemaker,June,2020,Q2
Don't buy it is very flawed and has battery and display issues,35-44,M," Chennai, Tamil Nadu",Working Professional,November,2022,Q4
All is good Love this watch please improve battery life in update,25-34,M," Mira, Maharashtra ",Working Professional,April,2024,Q2
Camera could have been more better,Under 18,F," Bareilly, Uttar Pradesh",Student,September,2020,Q3
Display is best,45-54,F," Sangli, Maharashtra",Homemaker,February,2021,Q1
Not bad,55 and above,M," Kotabammali, Andhra Pradesh",Retired,March,2024,Q1
Very nice ☺️,55 and above,M," Mumbai, Maharashtra",Retired,March,2020,Q1
Watch is superb in everything but i feel bad in battery the was not good it's draining too fast,45-54,F," Hyderabad, Telangana",Homemaker,April,2023,Q2
The product and it's quality was Good but there is a problem Blutooth was can't able to connect with my Mobile phone so that I can't receive any of my calls or attending any calls from my watch,45-54,M," Salem, Tamil Nadu",Freelancer,April,2024,Q2
Nice,18-24,F," Jalpaiguri, West Bengal",Working Professional,February,2022,Q1
Good,18-24,M," Koppal District, Karnataka",Freelancer,October,2020,Q4
Very Good Product,55 and above,F," Bengaluru, Karnataka",Homemaker,February,2022,Q1
very worst and bad touch not working properly and return policy very poor till I should face to difficult for return to the fire bolt,45-54,M," Salem, Tamil Nadu",Working Professional,May,2024,Q2
"Worth for the money, can buy without hesitation. Iam Using it for the past 3months",45-54,F," Karur, Tamil Nadu",Homemaker,July,2020,Q3
Nice product from Fire boltt company and its really nice design...,25-34,F," Phaltan, Maharashtra",Homemaker,October,2022,Q4
Very poor product not app mobile connect not message no battery backup brightness level very bad don't this by,45-54,M," Gwalior, Madhya Pradesh",Freelancer,July,2020,Q3
It's a awesome product.i,45-54,F," Kendujhar, Odisha",Homemaker,July,2021,Q3
good product...I did'nt give the 5star due to battery backup...not bad...not good...50-50,18-24,F," Agartala, Tripura",Working Professional,February,2020,Q1
"Quality and look good , battery life is poor and writing this review after using 3 months ,watch is not getting switched on its dead not expecting this from reputed brand",18-24,F," Bengaluru, Karnataka",Working Professional,July,2024,Q3
Nice Product,55 and above,M," Bemetra District, Chhattisgarh",Retired,July,2021,Q3
Super 👌👌,55 and above,M," Tumkur, Karnataka ",Retired,July,2022,Q3
Plz dont buy fire-boltt products..,Under 18,M," Patna, Bihar",Student,June,2022,Q2
Charging is not supported in the watch,18-24,F," Kolkata, West Bengal",Working Professional,August,2023,Q3
Best product,45-54,M," Mehgaon, Madhya Pradesh",Homemaker,December,2023,Q4
This product is fire bro I ordered it for my father and he liked it very much,45-54,M," New Delhi, Delhi",Freelancer,November,2021,Q4
Not good,55 and above,F," Navi Mumbai, Maharashtra",Homemaker,September,2024,Q3
Worest product don't buy any one,25-34,M," Visakhapatnam, Andhra Pradesh",Freelancer,April,2024,Q2
Great product.. Useing since 25-10-2014...still day its super.. But today speakers was suddenly stop it working.. So i Claim the warrenty today waiting for Response. Fron Fire bolt...,45-54,M," Kadapa, Andhra Pradesh",Working Professional,December,2021,Q4
Battery very fast drained,45-54,M," Ariyalur District, Tamil Nadu",Working Professional,July,2020,Q3
Good watch,25-34,M," Vaishali District, Bihar",Working Professional,August,2022,Q3
Nice product,25-34,M," Udham Singh Nagar District, Uttarakhand",Working Professional,June,2020,Q2
Worst product it stopped working after 4 days and same firebolt is not helping even though ..... No customer support and worst product,45-54,M," Sulur, Tamil Nadu",Working Professional,November,2021,Q4
Firstly I thought that it has battery issue but it is very good product it takes 2 hours to fill charge and give upto 3 days battery backup,55 and above,M," Moga, Punjab",Retired,October,2022,Q4
Must buy,55 and above,M," Samastipur, Bihar",Retired,June,2021,Q2
Very nice product I like it I did this product in 7 star,Under 18,F," Nagaon, Maharashtra",Student,September,2022,Q3
This produce is better but not so better this display is not to control damages but it is good 👍👍I love this produce of fire boltt clickk.,18-24,F," Asansol, West Bengal",Working Professional,June,2022,Q2
"Gets heated when watching any video, music apps crash when playing songs. A unique gadget to have but is it value for money.. maybe yes maybe no.

Yes if you like to have a unique tech

No if your expecting a lot out of this tiny wonder.",18-24,M," Hyderabad, Telangana",Freelancer,February,2022,Q1
"The watch looks decent for the price. I will list the pros and cons
Pros:
*Display looks decent (only lcd , it will better if it is AMOLED)
* 2 inch display is massive and looks bright
* Available in different straps options
* You can install mostly all apps from Playstore(Installing heavy games is not recommended)
* Decent battery life. Comes for 1.5 days without WIFI and Bluetooth on
Cons:
* Basic feature blutooth calling is not available.
* You can't connect to your phone for any notific...
READ MORE",Under 18,M," Bengaluru, Karnataka",Student,August,2022,Q3
The product is good but battery drains quickly and also the britness level is not working properly. Although it's a perfect vale for money product,25-34,M," Raigarh, Chhattisgarh",Freelancer,January,2024,Q1
"The product is very good, and the price is suitable for watch, and ther is no lag in watch , there is no heavy heating issue and it is water resistant, it is better than i watch.",Under 18,F," East Godavari, Andhra Pradesh ",Student,July,2022,Q3
It's a good product..,45-54,M," Kurnool, Andhra Pradesh",Freelancer,September,2023,Q3
Good,55 and above,M," Kalyan, Maharashtra",Retired,January,2024,Q1
Good Android watches,Under 18,M," Jabalpur, Madhya Pradesh",Student,June,2022,Q2
Very Good product. Worth for money,25-34,M," Bengaluru, Karnataka",Working Professional,May,2021,Q2
"It is one of its kind. It's not for all. If you want a stand alone phone in your wrist with Android in it go for it. But you would have to do lot of customisation to get the best of it. Coming to battery it's really good if u consider that it's an Android watch. Coming to the price, it's justified as it comes with such good technology in such small form factor. It does look really premium. Flipkart also gave an open box delivery to ensure the product was proper. Overall it's a good value for ...
READ MORE",25-34,M," Bengaluru, Karnataka",Working Professional,May,2022,Q2
"There are many pros but also cons , that's battery because whenever you are using play store or any third-party apps , it consumes the battery more.For every 2mins battery percent decreases,also this happens when you are using wifi with any app like , in my case i used only spotify. I don't know how to solve that battery consuming problem and mainly the heating issue. Not too hot it's just warming a bit but not noticeable when you are wearing it .",35-44,M," Chennai, Tamil Nadu",Freelancer,January,2023,Q1
Good Watch.,Under 18,M," Navi Mumbai, Maharashtra",Student,November,2021,Q4
"Products is Excellent value for money,",25-34,M," Bengaluru, Karnataka",Freelancer,March,2021,Q1
"Very bad product , west of money 👎🏻. I suggest you not buy this product",Under 18,M," Lucknow, Uttar Pradesh",Student,October,2020,Q4
Battery draining fast without using.,25-34,M," Ernakulam, Kerala",Working Professional,April,2021,Q2
"Very good smart wrist phone, value for money product and quality is so good.",35-44,F," Burdwan, West Bengal",Homemaker,July,2023,Q3
Wonderful product must buy,35-44,F," Rayagada, Odisha",Homemaker,April,2020,Q2
"1.Heating Issue
2.very fast battery draining.
3.software upgrade required to fix the above issue.
4.when use as a phone without net use battery very fast draining",45-54,M," Sivasagar District, Assam",Working Professional,March,2020,Q1
"Battery backup avarage
Screen quality good but typing experience is not so good, Build quality is primium just like apple watches. Need some updates in software for more smooth experience.",18-24,M," Subarnapur, Odisha",Freelancer,August,2023,Q3
"Product is good and innovative but need some improvement. Hope it gets improved via OTA update.
Battery draining too fast. Google maps not working, stuck at start mentioning searching GPS.
Otherwise overall Good",Under 18,F," Gurgaon, Haryana",Student,September,2023,Q3
Good quality products thank you filpkart,35-44,M," New Delhi, Delhi",Working Professional,July,2023,Q3
Awesome look and budget smartwatch with exclusive products,55 and above,M," Gopalganj, Bihar ",Retired,December,2023,Q4
Fireboltt dream watch is a real world dream watch...it fulfilled my childhood dream of a wrist phone....❤️ loved the watch,25-34,M," Hyderabad, Telangana",Working Professional,June,2022,Q2
Overall good product 👍.,35-44,F," Hubballi, Karnataka",Homemaker,December,2024,Q4
Amazing dream smartwatch,25-34,M," Etah, Uttar Pradesh",Freelancer,March,2023,Q1
Watch is okey but after 3 months of use it has display lagging issue and if opened any app it forcely coming back and major point is it has line issue ( straight line) in the display like one plus but they have replaced the watch with new one brand new with box,18-24,M," Visakhapatnam, Andhra Pradesh",Freelancer,August,2021,Q3
"Nice product , I love it actually I can use it on my job where I can not use my phone so overall it's very cool product...",Under 18,M," Pen, Maharashtra",Student,May,2021,Q2
Everything is good.,18-24,M," Banmankhi Bazar, Bihar",Working Professional,November,2020,Q4
"Everything is good
Problem is the battery life",45-54,M," Bankura, West Bengal ",Freelancer,March,2022,Q1
Nice product and sturdy design.. waiting for awake its full potential by today..,18-24,M," Salem, Tamil Nadu",Working Professional,November,2022,Q4
It's good,35-44,F," Thane, Maharashtra",Homemaker,August,2024,Q3
Ok,18-24,M," Jaipur, Rajasthan",Freelancer,November,2021,Q4
"Good product I like it
Fabulous product I recommend To Everyone To buy This Product",Under 18,F," Agra, Uttar Pradesh",Student,December,2020,Q4
Wrist phone is very amazing 😍 and I love this product all app are supported this but bettery is not bad 😔,45-54,M," Chakan, Maharashtra",Freelancer,June,2022,Q2
Design is good a bit heavy.. battery is upto mark..display is good,Under 18,M," Gurugram, Haryana",Student,November,2022,Q4
Product feels nice on the wrist and the calling feature is good GPS and everything else works well,45-54,M," Bengaluru, Karnataka",Working Professional,July,2024,Q3
This really Dream Watch,25-34,M," Gautam Buddh Nagar, Uttar Pradesh",Freelancer,February,2020,Q1
Battery performance not good,18-24,F," Meerut, Uttar Pradesh ",Working Professional,February,2024,Q1
No battery capacity and over heating in just 15 to 20 mins seriously waste of money,18-24,F," Bengaluru, Karnataka",Working Professional,October,2023,Q4
Battery capacity very low in this price watch is not good,Under 18,M," Howrah, West Bengal",Student,October,2022,Q4
"Good product and good quality but better too low..
But 🔋 Battery gets discharged quickly like if you u play game and watch movies or videos then full charged battery discharge in just 30 minutes even if your brightness too low.. if you just use browser and other normal things then it went 0 in maximum 2 hours.. so all features is useless if your battery that much worst. I will not recommend to buy this... Go with boat or other. Basically it's not watch it's mini mobile with 2 gb ram and ...
READ MORE",35-44,M," Jodhpur, Rajasthan ",Freelancer,October,2020,Q4
Wrist phone is awesome,35-44,M," Nagpur, Maharashtra",Working Professional,July,2023,Q3
Nice Product,55 and above,M," Ranchi, Jharkhand",Retired,February,2022,Q1
Battery backup is very bad,35-44,M," Bhopal, Madhya Pradesh",Freelancer,April,2024,Q2
🙂 nice,25-34,F," Dhrangadhra, Gujarat",Homemaker,November,2024,Q4
"It works absolutely good
Good product
I like the product very well",35-44,M," Prakasam, Andhra Pradesh ",Freelancer,March,2023,Q1
"I was very excited to purchase this product and I purchased it and I happy with this product.

Here are the pros and cons I experienced:
Pros:
- High-quality strap and build
- Beautiful design
- Good connectivity
- Battery backup is good

The only problem is its old Android version.

You can go with this product.",55 and above,M," Ganjam, Odisha",Retired,February,2024,Q1
Very beautiful product 🥰🥰🥰,55 and above,M," Faridabad, Haryana",Retired,March,2020,Q1
I like the product and bought this same day of launching on flipkart,25-34,F," New Delhi, Delhi",Homemaker,May,2021,Q2
"Thrilled with my Firebolt Dream Smartwatch! Its sleek design seamlessly combines style and functionality. The vivid display, accurate health tracking, and seamless connectivity make it a standout. With an array of customizable features and a long battery life, it's become an indispensable part of my daily routine. Firebolt has truly crafted a dream wearable for modern tech enthusiasts!",35-44,F," Gurugram, Haryana",Homemaker,January,2022,Q1
"Charging and touch screen not perfect
And it doesn't even connect to mobile. Nonsense product, money wasted,,,, don't buy any otherwise you will regret. I am also regretting buying it, money was wasted.",18-24,M," Sant Kabir Nagar, Uttar Pradesh ",Working Professional,November,2021,Q4
Please don't buy very poor battery backup and hanging so much and typing problem..... totally waste of money,35-44,M," Jammu, Jammu and Kashmir",Freelancer,January,2023,Q1
This watch is really good if it is used as it is meant to be. It gives 2 days charge if used keeping the expectations in check.,25-34,M," Hyderabad, Telangana",Freelancer,October,2023,Q4
Not good ... waste of money... they are not accepting the return... wanna file case in fire boltt,55 and above,M," Karaikal, Puducherry",Retired,January,2022,Q1
This product is bast battery is fast down 👎,18-24,F," Solapur, Maharashtra",Working Professional,September,2022,Q3
Very Good to use,25-34,M," Tirupur, Tamil Nadu",Working Professional,May,2023,Q2
Bad product don't west money,45-54,F," Allahabad, Uttar Pradesh",Homemaker,May,2022,Q2
I like that design and the idea of using phone on ur wrists. It looks premium and the quality of the product is very nice,55 and above,F," Hyderabad, Telangana",Homemaker,February,2024,Q1
Battery drain fastly,45-54,M," Bengaluru, Karnataka",Working Professional,December,2020,Q4
"The product seems good but they should have to work on battry backup , watch faces and the activity tracking is not accurate",18-24,M,"  Pune, Maharashtra",Freelancer,February,2021,Q1
"Good Product, working fine, liked the product..",18-24,M," Howrah, West Bengal",Freelancer,November,2021,Q4
nice product looking good,25-34,M," Thodupuzha, Kerala",Working Professional,February,2020,Q1
Good one,18-24,M," Chittoor, Andhra Pradesh",Freelancer,May,2022,Q2
Good experience of the watch,55 and above,F," Hyderabad, Telangana",Homemaker,April,2021,Q2
Nice product i love it...!,Under 18,M," Dhule, Maharshtra",Student,January,2020,Q1
"Wrist phone they say. Why cant they add a feature to get smartphone notification when connected to Bluetooth??? Thats the basic feature in every smartwatch and look at you Fireboltt Dream, cant even show notification if you dont have a sim card. Pathetic.",55 and above,M," Kottayam, Kerala ",Retired,August,2022,Q3
The product is nice 👍👍,35-44,M," Nandyal, Andhra Pradesh",Working Professional,August,2021,Q3
Good one,Under 18,M," Bengaluru, Karnataka ",Student,March,2022,Q1
Watch look wise best but Battery was not good..,18-24,M," Palghar District, Maharashtra",Working Professional,June,2024,Q2
Nice 👍,Under 18,M," Bengaluru, Karnataka",Student,March,2022,Q1
Nice watch....i recommend you all try this amazing watch ❤️😊,45-54,F," Lucknow, Uttar Pradesh",Homemaker,December,2024,Q4
"Editing again, 2 battery saving options. If you select the raise to wake then battery drains fast. So no raise to wake and no background activities. Feature for that: Acceleration Mode. Go for it. The SIM in this watch must be used for emergency purpose. Since every body has a phone. If phone is in locker, this watch is by your side.

Old****
My first Smartwatch. It turned out to be awesome. First Android smart watch that to with sim card support. Go for it.",55 and above,M," Gurugram, Haryana",Retired,September,2024,Q3
Watch is Easy to use the Android OS and the Quality is Simply Superb.,45-54,M," Maruteru, Andhra Pradesh",Freelancer,April,2020,Q2
"Just waste of money.. buy any 4g mobile at this price point and gift to any needy person or student.... Or gift to grandma, grandpa....

Poor battery capacity...
Poor voice quality...
Super slow charging.... Fast battery draining....",25-34,M," Ahmadnagar, Maharashtra",Freelancer,October,2021,Q4
Great product,Under 18,M," Kochi, Kerala",Student,July,2022,Q3
Not working with in a week not accept to return ... Price ok but quality is not good. Don't buy go for another brand,Under 18,M," Tiruchirappalli, Tamil Nadu",Student,January,2024,Q1
Battery is completing so fast,45-54,M," Mahabub Nagar, Telangana",Working Professional,January,2023,Q1
Camera not available in this device..also battery drain to fast,35-44,M," Kothur, Telangana",Freelancer,April,2021,Q2
Can't connect phone to the watch. Major drawback,25-34,M," Bengaluru, Karnataka",Freelancer,September,2020,Q3
Okay,45-54,F," Dakshin Dinajpur District, West Bengal",Homemaker,April,2023,Q2
Not good product over all because it heats very easily price is so high and the crown is also not working,45-54,F," Nandura, Maharashtra",Homemaker,December,2022,Q4
Battery backup poor,45-54,F," Kolkata, West Bengal",Homemaker,March,2020,Q1
Battery is draining so fast,35-44,F," Shillong, Meghalaya",Homemaker,April,2022,Q2
All features are good screen quality also good,35-44,M," Jhansi, Uttar Pradesh",Working Professional,June,2022,Q2
The product usage is nice but the battery easily dies soon. The battery is the main concern.,25-34,M," Sivagiri Erode, Tamil Nadu",Working Professional,February,2023,Q1
Battery backup poor,35-44,M," Jamuhan, Madhya Pradesh",Working Professional,April,2022,Q2
Average watch and on/off Taking 2-3 second which is highly disappointing me but in this segment it's enough to tolerate.Fireboltt should work on it's on/off function and on crown also which is sometimes not working properly,55 and above,M," Gonda, Uttar Pradesh",Retired,October,2024,Q4
Good product price range will be high it should between 4k to 4.5 k and also battery improvement required,Under 18,M," Surat, Gujarat",Student,August,2023,Q3
"Dont buy... Low quality, heart rate not proper work, buggy, loss my money no return policy no on this",35-44,M," Dhakuakhana, Assam",Freelancer,June,2020,Q2
Very good android user interface like a smartphone and no lag. Very smooth.,45-54,M," New Delhi, Delhi",Freelancer,February,2024,Q1
Awesome product thank you fire boult,Under 18,F," Kadambathur, Tamil Nadu",Student,December,2021,Q4
This item is very bad 😞😞😞,45-54,M," Bettiah, Bihar",Working Professional,April,2024,Q2
Battery problem,Under 18,F," Haldia, West Bengal",Student,July,2022,Q3
"It drains the battery very very fast! Heavier, Android is not optimised properly for the watch version. Looks good.",45-54,M," Murshidabad, West Bengal",Working Professional,December,2024,Q4
Good Watch with amazing features with nice application interface u can add any App's in this watch' i like a lot Go for this blindly as well as you get coustomer care support with this watch' in case of any issues one the best brand Thanks a lot ⭐⭐⭐⭐⭐ star watch,18-24,M," Nagpur, Maharashtra",Freelancer,August,2024,Q3
This is a very interesting product with a effective value,35-44,M," Bharatpur, Rajasthan",Working Professional,January,2023,Q1
A nice watch from Fire Boltt to attempt Android but the fitness section was compromised. Heart Rate Monitor is not working properly from the fresh start. Steps are inaccurate or not counting properly. Battery issues are there. Drops from 22% to 0% switch off when I used for the first time itself. Other than that the watch comes with a nice meal with Android.,Under 18,M," Denkanikottai, Tamil Nadu",Student,April,2024,Q2
"Very nice product.
Battery last more than 24hr in normal use
Value for money. Just go for it.",Under 18,M," Rourkela, Odisha",Student,February,2024,Q1
must buy,35-44,M," Bhiwandi, Maharashtra",Freelancer,September,2020,Q3
"Nice product love it 🥰
Quality is very good 👍🏻",55 and above,M," Udaipur, Rajasthan",Retired,July,2023,Q3
"THIS WATTCH IS VERY NICE AND FANTASTIC WORKING
NICE REPLACE MENT WORK",18-24,M," New Delhi, Delhi",Working Professional,September,2022,Q3
Good,Under 18,F," Aurangabad, Maharashtra ",Student,August,2024,Q3
Nice look and osm experience. Really love breathing exercises in this watch,Under 18,M," Hyderabad, Telangana",Student,November,2020,Q4
"Good my product, super smart watch",25-34,M," Kanpur, Uttar Pradesh",Working Professional,September,2020,Q3
Just Awesome,45-54,F," Kolkata, West Bengal",Homemaker,February,2024,Q1
Nice 🙂 product of this range.,35-44,M," Hamirpur, Himachal Pradesh",Working Professional,August,2023,Q3
Good,Under 18,F," Ghaziabad, Uttar Pradesh",Student,November,2023,Q4
"Love my Fireboltt Obsidian smartwatch! Sleek gold design, vibrant AMOLED display, Battery life is decent and charging is quick. Minor lag issues, but overall an excellent value-for-money smartwatch.",25-34,F," Nebadhai Duttapukur, West Bengal",Homemaker,November,2021,Q4
Low quality and waste money,35-44,F," Panchkula, Haryana",Homemaker,February,2023,Q1
Very nice watch,55 and above,M," Ahmedabad, Gujarat",Retired,April,2024,Q2
Old itam,18-24,M," Mumbai, Maharashtra",Freelancer,April,2020,Q2
Very nice watch,35-44,M," Ahmedabad, Gujarat",Freelancer,April,2021,Q2
Old itam,18-24,M," Mumbai, Maharashtra",Working Professional,October,2021,Q4
Nice,Under 18,M," New Delhi, Delhi",Student,October,2024,Q4
Charging does not work at all It will be over in 1 day,25-34,M," Gurugram, Haryana",Freelancer,March,2020,Q1
Battery back up is too low. Hardly one day,45-54,M," Gaya, Bihar",Working Professional,August,2021,Q3
This product battery issues.,18-24,M," Nagda, Madhya Pradesh",Working Professional,May,2023,Q2
Very nice product,45-54,F," Bengaluru, Karnataka",Homemaker,July,2021,Q3
Product is very excellent model is super,18-24,M," Madukkur, Tamil Nadu",Freelancer,September,2020,Q3
Not working touch,25-34,M," Siwan, Bihar",Working Professional,August,2021,Q3
This is watch for best,25-34,M,"  Pune, Maharashtra",Freelancer,October,2022,Q4
Wonderful watch,45-54,F," Pollachi, Tamil Nadu",Homemaker,April,2022,Q2
Nice watch,55 and above,F," Mumbai, Maharashtra",Homemaker,September,2024,Q3
"Just Awesome, my partner likes it.",18-24,F," Kanpur, Uttar Pradesh",Working Professional,June,2022,Q2
Nice product and I will recommend it,55 and above,F," Bhubaneswar, Odisha",Homemaker,September,2021,Q3
I like this product and features i am fully statisfied i am giving total 5 out of 4 star,35-44,M," Salem, Tamil Nadu",Freelancer,September,2021,Q3
Good,35-44,F," Patna, Bihar",Homemaker,July,2022,Q3
Looking good value for money,55 and above,M," Coimbatore, Tamil Nadu",Retired,February,2022,Q1
Bad watch,25-34,F," Patna, Bihar",Homemaker,November,2021,Q4
Greatt,45-54,M," Chennai, Tamil Nadu",Freelancer,August,2024,Q3
Nice watch...i loved it.and it's good.,35-44,M," Rourkela, Odisha",Working Professional,June,2020,Q2
"Amazing product, strap quality is not as good as expected",25-34,M," Kakkanad, Kerala",Freelancer,September,2021,Q3
Very bad quality don't buy this product,18-24,M," Tiruchirappalli, Tamil Nadu",Working Professional,November,2021,Q4
Very good product. Must worth item. Useful,35-44,F," Koduvally, Kerala",Homemaker,October,2023,Q4
Nice product. I loved it.,35-44,F," Karthikappally, Kerala",Homemaker,March,2021,Q1
super,55 and above,F," Vijayapura, Karnataka",Homemaker,August,2024,Q3
Awesome design and nice build quality,55 and above,M," Thiruvananthapuram, Kerala ",Retired,December,2023,Q4
Very good 👍,45-54,M," Gonda, Uttar Pradesh",Freelancer,October,2021,Q4
Nice watch!! It's unique amoled display,45-54,M," Pimpri Chinchwad, Maharashtra",Freelancer,January,2024,Q1
Very bad don't purchase waste of money,45-54,F," Thrippunithura, Kerala",Homemaker,April,2024,Q2
Good product,25-34,F," Njarackal, Kerala",Homemaker,December,2021,Q4
Good product 👌,25-34,M," Varanasi, Uttar Pradesh",Working Professional,February,2022,Q1
Excellent product,Under 18,M," Mumbai, Maharashtra",Student,July,2021,Q3
Value for money,25-34,F," Mumbai, Maharashtra",Homemaker,February,2022,Q1
Nice.,18-24,F," Bazpur, Uttarakhand",Working Professional,June,2023,Q2
Good product,18-24,M," Thane, Maharashtra",Working Professional,March,2022,Q1
Within 15 days polish went,Under 18,M," Nashik, Maharashtra",Student,December,2023,Q4
Bakbas product,18-24,M," Begusarai, Bihar",Freelancer,September,2024,Q3
Good Product,35-44,M," Ahmedabad, Gujarat",Freelancer,July,2021,Q3
i love this watch make sure buy the watch obsidian,Under 18,M," Cachar District, Assam",Student,November,2020,Q4
Very normal product,45-54,F," Marhaura, Bihar",Homemaker,October,2021,Q4
Best smart watch in fire-boltt,45-54,F," Morbi, Gujarat",Homemaker,May,2021,Q2
Good 👍,55 and above,M," Kolkata, West Bengal",Retired,February,2020,Q1
Dont compare with the images these images look way better than the average product,Under 18,M," Ludhiana, Punjab",Student,March,2020,Q1
Seems Good,45-54,F," Kalyan, Maharashtra",Freelancer,December,2020,Q4
It's all good ...I am very satisfied with this smart watch,45-54,M,"  Pune, Maharashtra",Working Professional,December,2023,Q4
Very nice product,45-54,M," Katwa, West Bengal",Freelancer,August,2024,Q3
Full charged but battery pack up one hour low battery loss of money,18-24,F," Hyderabad, Telangana",Working Professional,January,2021,Q1
Good product,25-34,F," Ernakulam, Kerala",Homemaker,January,2024,Q1
Product quality is bad... Display is not working.... After sometime ded.... Only 3 day used only....,18-24,M," Gonda, Uttar Pradesh",Working Professional,June,2022,Q2
"Side button colour disappeared after one day....

Otherwise product is good .....",25-34,F," Mandi District, Himachal Pradesh",Homemaker,January,2024,Q1
Good,45-54,M," Chittoor, Andhra Pradesh ",Freelancer,December,2022,Q4
Amazing watch ...I love it this product,18-24,M," Kanpur, Uttar Pradesh",Freelancer,December,2023,Q4
I like it because it's designed very attractive,25-34,F," Bulandshahr, Uttar Pradesh",Homemaker,March,2023,Q1
"Feature wise almost same as others but look wise 'Retro look' is superb! Battery is good, still available less than 50% and its 3rd day. touch feature works perfect ! i got black but i think silver would look much better.",25-34,M," Bengaluru, Karnataka",Working Professional,November,2024,Q4
Good looking and stylish,45-54,M," Krishna, Andhra Pradesh",Freelancer,April,2024,Q2
Value for money,45-54,M," Raigarh, Chhattisgarh ",Freelancer,November,2024,Q4
"The design was very good also the material, value for money.The display and brightness control panel also looks similar to mobile.The chain was premium. The package also Contains a cool mechanical tool.",45-54,M," Hyderabad, Telangana",Freelancer,April,2021,Q2
"The making and finishing looks rigid and strong. Feels classy, and stylish. Gifted to my brother who loves vintage fashion so this watch is the best choice in smart watch ranges. It's been 20 days of purchasing, charged only once 😅 still the battery is 40% . Battery is extending for longer than expected",25-34,F," Chennai, Tamil Nadu",Homemaker,March,2020,Q1
Good product nice design,35-44,F," Secunderabad, Telangana",Homemaker,February,2023,Q1
Good watch nice thanks lot fire bolt,Under 18,F," Kasaragod, Kerala",Student,August,2022,Q3
Nice purchase.,Under 18,M," Baleshwar, Gujarat",Student,September,2024,Q3
Beautiful watch.,35-44,M," Chennai, Tamil Nadu",Freelancer,September,2021,Q3
Good watch .. Amazing watch... Good battery Life,Under 18,F," Karur, Tamil Nadu",Student,November,2022,Q4
"A Blast from the Past with Modern Twists - Firebolt Retro Smart Watch Review
I've been wearing the Firebolt Retro Smart Watch for 1 mouth, and I'm loving the unique blend of classic style and modern functionality. The retro design is a great conversation starter, and the smart features make it a practical accessory for daily life.

*Pros:*
- Unique retro design that turns heads
- Comfortable and lightweight
- Easy to pair with my smartphone
- Accurate fitness tracking and heart rate monitorin...
READ MORE",25-34,M," Purba Medinipur, West Bengal ",Working Professional,April,2023,Q2
Wonderful product and designed. Just loving it.,45-54,M," Noida, Uttar Pradesh",Freelancer,August,2021,Q3
Nice product,45-54,M," Hyderabad, Telangana",Working Professional,August,2024,Q3
"The watch is superb, when connected to phone even songs Can be played via watch. Summa solla kudathu watch supera irukku, namma paatu kooda watch la irundhu play pannikala built quality um super when connected Bluetooth phone ku vara calls ellame watch ku varuthu plus watch la irunthe atten panla ye namma call kooda pannikala",55 and above,M," Modakurichi, Tamil Nadu",Retired,February,2021,Q1
Excellent working,55 and above,M," Kollam, Kerala ",Retired,July,2020,Q3
It's very good watch and thank firebolt,18-24,M," Mumbai, Maharashtra",Homemaker,September,2021,Q3
Quality of the product is mind blowing and price is very good.,55 and above,M," Lucknow, Uttar Pradesh",Retired,July,2022,Q3
Good product,25-34,F," Varanasi, Uttar Pradesh ",Homemaker,December,2021,Q4
Really nice watch. Worth for money,55 and above,M," Pathanamthitta, Kerala ",Retired,February,2021,Q1
"Value For money product, Retro classic.
One should buy it . Good battery,good display quality.",25-34,M," West Medinipur, West Bengal",Working Professional,July,2024,Q3
The product is very useful in our daily life 🙂...,35-44,F," Lucknow, Uttar Pradesh",Homemaker,January,2022,Q1
"Awesome, looking superb",45-54,M," Jangareddigudem, Andhra Pradesh",Working Professional,July,2024,Q3
"The battery lasts a little longer, everything else is fine",45-54,F," New Delhi, Delhi",Homemaker,December,2021,Q4
